Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, L/mg",20.270176791693252,20.280438275966254,20.293214564263813,20.263494914931396,20.282059457977358,20.283216442893465,20.244245549399537,20.300310404220337,11.706079101527747,20.24969066312865,19.41729261660018,20.0
"K_{cl}, L/hr",2.8183249025366277,2.8188924996524545,2.8262006415795122,2.8210442043122805,2.818607306846362,2.8225076909207987,2.818949505410139,2.8221375079996966,2.818973363340238,2.822812045861554,2.820844966845966,2.8
"V_c_typ, L",-0.4899044062578796,-0.3640682718690128,0.04964197678786871,-0.33579509209235553,-0.36593897795530794,-0.2950391280221885,-0.3708546450970639,-0.29903693593229236,-0.3651859179531607,-0.1245470885875076,-0.29607284869789,0.68
omega_V_c,0.43975415656941275,0.3537978816960352,0.7040165010591913,0.45110781056599086,0.28056135258562703,0.31944394930859293,0.31595924323924857,0.35612382142540056,0.3201811317969592,0.9812380678323157,0.45221839160787747,0.3
"R_0_typ, 10^3/mu L",6.890698186090779,6.891774207344222,6.890835893859271,6.891195118340745,6.890634702967086,6.8912675122618055,7.141155690695719,6.891130019460852,6.808735087962374,6.890674374281448,6.907810079326429,983.1
omega_R_0,0.0003505666776125347,0.000323363493951362,0.0003452674084253567,0.0003553311119927043,0.0003270489739821613,0.00032617334800881753,0.9202869238327057,0.000356553579969186,0.060147779477762765,0.0003304921208309637,0.09831495000252415,1e-10
gamma,0.4357388128791063,0.4358824091347535,0.4370178217824538,0.43647435128090295,0.43676618861336414,0.4356907253718496,0.437334913762119,0.43599291222718806,3.027887451511317,0.43751560144443347,0.6956301188007489,0.44
"MTT, hr",84.98950758596396,85.01650565232478,85.08848666394576,85.03753480168109,85.08319416719871,84.9953905738547,85.11847664402606,85.02410148150531,140.36176524996415,85.12853385395714,90.58434966744217,85.26
"\sigma_{m, PK}",41.83627822022286,41.88388376520232,42.008035679295595,41.79554403553524,41.757832391119244,41.99253246153028,41.62829712507698,41.86713693836889,129.86596079151937,42.25119355890076,50.68866949667716,0.091
Log-posterior,-2522.7075081006847,-2524.390983419668,-2575.8092004869923,-2533.4162817355477,-2518.5839252696546,-2525.7744474959663,-2689.9768024224836,-2522.384036587787,-5160.286933283415,-2580.423728567486,nan,nan
