Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, L/mg",20.00669509858946,20.016163048390545,20.011056041664844,20.01087351531933,20.00985743363864,3.314552268063955,20.01028633710098,16.375452720712826,16.404568098091868,20.008028428882454,17.616753299045488,20.0
"K_{cl}, L/hr",2.799612113866226,2.800111430721465,2.79968065823409,2.7999686017262304,2.800325503624862,2.799814624315226,2.799708373655518,2.799822915035272,2.7998215860885485,2.7993367375306524,2.799820254479809,2.8
"V_c_typ, L",-0.5161229808922454,-0.34518375911217264,-0.38744475752896534,-0.6440118886483523,-0.3613479970970843,-0.4372444033525985,-0.389768475899939,-0.4409593899773642,-0.43117865513541404,-0.22077004964567604,-0.41740323572898125,0.68
omega_V_c,0.14168146289530478,0.3154438972785324,0.3596662977410416,0.2422064797024325,0.8768489755278154,0.256462411959696,0.446465239536876,0.26884358311891804,0.2451078490746559,0.562449612228028,0.37151758090633014,0.3
"R_0_typ, 10^3/mu L",6.51264996512461,6.545007021082766,7.173989888027826,7.212957559538143,7.365700816906364,6.761790132191329,6.414892606802389,6.882650574488736,7.766851879512791,6.864804126336302,6.950129457001125,983.1
omega_R_0,0.7435740739239993,0.279511300075931,0.1623978058152681,0.9314919980800302,0.3705330991738179,0.3713556105285392,1.0143059231823799,0.0003271603447904729,1.1869186444078945,1.2031223408738465,0.6263537956406496,1e-10
gamma,0.43998273422473794,0.4397971555250072,0.439920642015538,0.439856230241226,0.44000181852189857,6.188006149512248,0.43976992866422715,0.08802817131901731,0.7067081277905256,0.4398023441015066,1.0061873301915931,0.44
"MTT, hr",85.26307725596602,85.24857542769632,85.25666151616721,85.25466965347032,85.26385854715252,760.5559770413329,85.24600124094235,652.3219749126806,706.9686526899284,85.25065514197756,271.66301034273135,85.26
"sigma_{c, PD}",4.223265846314505,4.273652803545113,4.3224651634903966,4.236840699090132,4.235107640188389,291.1186981404225,4.249351008175692,261.6243415328457,260.5143580974625,4.305758654077833,84.31038395856127,4.243
Log-posterior,7607.137107823093,7640.159712072022,7623.645134239677,7611.304356009816,7570.020830015943,-1885.95761662903,7605.664536353481,-1441.8631031772284,-1663.7284525808288,7550.192302169828,nan,nan
