Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, \ textrm{L}/\ textrm{mg}",20.292614772791037,17.680715472939017,20.261533776783367,20.258664412052383,20.239979680710167,20.24794015018535,20.22992920282842,32.29950944898434,34.653042006927265,47.46439101538784,25.362831993958917,20.0
"K_{cl}, L/hr",2.8224539985602966,2.8192982898668193,2.818204103912062,2.818827844455331,2.8159135492958263,2.8166469985839235,2.815965665234157,7.323761525978924,2.8196589196666704,5.151908659024738,3.5022639554578747,2.8
"\log(V_{c, typ})",-0.3684102745537277,-0.3653755371902821,-0.37009522415960683,-0.35237882745739524,-0.3693282332276513,-0.37325673943042076,-0.36560549377577045,-0.13349313519056105,-0.36682854853177277,0.07995559915177392,-0.29848164143654143,-0.3856624808119846
\omega_{V_c},0.31992459322247896,0.3187195821581858,0.3176868475649806,0.32778504192779756,0.3176464297783022,0.3224891657633893,0.3215450426420527,0.5029830592935124,0.3182118658683616,0.14108438527210618,0.3208076013491167,0.3
"K_1, L/hr",2.3492980593417614,2.3433297204983417,2.340635260784873,2.3404331739214834,2.3338452419045694,2.3381878577221613,2.3352855985422787,8.091537022137778,2.3431040139869794,4.183085202702693,3.099874115154292,2.3
"V_1, L",4.963578307657516,4.953228905449236,4.952646514553919,4.944716123876151,4.931894355466094,4.948188905851799,4.937257289149167,0.4041629110928727,4.95414321894478,0.6008616331533704,4.059067816519491,4.9
"R_0, 10^3/\mu \ textrm{L}",983.4409122504762,970.8927650605543,983.369000788451,983.2765393689633,983.2705181641068,983.3649895976321,983.3490681211863,1199.5470367505102,973.7133696413434,591.6949632683519,963.5919163011574,983.1
\gamma,0.43618964386022824,1.0490900122967157,0.43653580744802245,0.4366148570449194,0.43640947647607414,0.43659659529907235,0.4368297054920355,0.7613558572998977,0.4196176252585919,0.49649033509986956,0.5345729915575428,0.44
"MTT, \ textrm{hr}",85.03975281044242,997.3586649972364,85.0678395677575,85.07227622410085,85.0489340658856,85.06378907971937,85.0756157643476,50.621374087273225,910.1220225934379,68.53233450659586,253.7002603696796,85.26
"\sigma_{c, PD}",41.9955590757851,262.8344774640828,41.9598718002164,41.86215486922483,41.89862358944667,41.9846535791498,41.833497061504104,59.01747368154593,262.84796338850623,806.040346471716,164.22746209811777,42.43
Log-posterior,-2676.3802876347017,-6819.950374661318,-2676.5376435823396,-2676.3803659154223,-2676.487325298068,-2676.5155065544313,-2676.57149617671,-inf,-6819.142446707102,-inf,nan,nan
