Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, L/mg",20.179021772804415,20.225926789897702,11.529540191496203,20.15193879794229,20.150690081623797,20.163774271132063,11.406942183584032,20.128288242091458,20.152670147532223,20.16447150423889,18.425326398234308,20.0
"K_{cl}, L/hr",2.80344923253787,2.8074333408548013,2.804671697914364,2.8038228496040043,2.804423725360171,2.80263883630815,2.8031452155437093,2.8022599897165517,2.8024528748865625,2.8040319857027867,2.803832974842897,2.8
"V_c_typ, L",-0.38848541315413265,-0.405244864233382,-0.3494775248162348,-0.3938967596195269,-0.39283893078584764,-0.2920524716474809,-0.3481180531539172,-0.5484457447311306,0.4597236213177282,-0.3949521658988454,-0.305378830672277,0.68
omega_V_c,0.30870798326637383,0.29851980751950397,0.32507263407679016,0.3252303171069205,0.2694968167698794,0.47227428314272335,0.31806764390641296,0.37802976199062477,0.6985417614749264,0.3274916407503162,0.37214326500044714,0.3
"R_0_typ, 10^3/mu L",6.891113653436175,6.890943348247056,6.818506121099694,5.786993426734265,6.89128981146993,6.891116893468657,6.884035373259506,6.891420679578431,6.89086085192317,6.891376618837301,6.7727656778054195,983.1
omega_R_0,0.0003512558888662853,0.00033409670049064306,0.05261267370723103,1.7643158927688345,0.0003315296671755762,0.0003399666557237293,0.0003184524045864004,0.00032919894354089223,0.00033140310460254535,0.00034827071472178346,0.18196127405557733,1e-10
gamma,0.43511071042937055,0.43496265067103645,2.771754748772394,0.4371029865611615,0.4363406208284936,0.4359158076255474,0.09627092667481607,0.4358557347745403,0.436255419403559,0.43563037646910124,0.635519998221002,0.44
"MTT, hr",84.9590364239634,84.93635942982843,137.01359339393986,85.10613637544597,85.03422679782511,85.01664174648477,759.8348621412025,85.0320784462846,85.03412348441621,84.99825036288095,157.69653086022717,85.26
"sigma_{c, PD}",41.637343648533566,41.85643470663039,130.35039148038223,41.519201311930956,41.81645445700568,41.52401311434645,264.4624614324905,41.39232631315962,41.73833670853209,41.37304806306001,72.76700112360714,42.43
Log-posterior,-2520.168324743059,-2547.627354557081,-5161.656088198974,-2736.5888094716374,-2527.308767336442,-2526.864663235444,-6660.400872878708,-2534.59143914129,-2613.2975823474703,-2535.684094555155,nan,nan
