Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, \ textrm{L}/\ textrm{mg}",20.27797575974562,20.320938926708592,11.289758236393405,20.25422807079207,20.27975179539172,19.28873316318465,0.5226176365024789,20.316395202925133,20.2928159314081,20.269691625295042,17.31129063483468,20.0
"K_{cl}, L/hr",2.8221762690157357,2.8259876465495557,2.564438687065152,2.8177024427498125,2.8202794219020104,2.8194756788934043,2.8208193273545294,2.8251270377278375,2.8260977837076027,2.820777551495022,2.7962881846460665,2.8
"\log(V_{c, typ})",-0.36078852553473434,-0.3724363163904602,-0.5362825832301376,-0.3582838479900822,-0.37321784265752983,-0.36903720416359576,-0.36327293905815033,-0.35310287079328184,-0.3489947100169339,-0.35663146159290593,-0.37920483014278117,-0.3856624808119846
\omega_{V_c},0.3149478936060876,0.3174238596335531,0.8643580983364405,0.3262164399045128,0.3182199415382318,0.3217391285310948,0.31962812311263866,0.32073446884743295,0.3211916097591848,0.31361670876651565,0.3738076272035692,0.3
"K_1, L/hr",2.3506480718088336,2.3573051394336813,1.176111921015722,2.337800524026131,2.3440553746065764,2.342266564334733,2.345357300484071,2.3526062358152906,2.3578364807859877,2.347261324644183,2.231124893695521,2.3
"V_1, L",4.971399032668478,4.97409141576837,2.3389658089299177,4.943489111419777,4.954399296615243,4.9499270331653085,4.9549010566421785,4.96516664685004,4.976005684318284,4.966176668747611,4.699452175512521,4.9
"R_0, 10^3/\mu \ textrm{L}",983.3916601266133,983.2991039856341,893.3187939101148,983.3658023654401,983.2215327299133,973.0075547962797,970.2370896688078,983.1905709018038,983.3451003239262,983.2938791078542,971.9671087916388,983.1
\gamma,0.4364058354521233,0.4364840294697409,0.40799904494132605,0.4366411528363073,0.43650764120188845,0.3009230175092943,0.05402178776694985,0.4364561859195465,0.4367160258718318,0.4366367844848912,0.38187915054539,0.44
"MTT, \ textrm{hr}",85.04128480144043,85.0482893334182,81.21877031475738,85.05959935730911,85.06442620192034,821.373619849728,368.6588160267903,85.05411405031546,85.06286532193957,85.06664323152853,186.66484284891473,85.26
"\sigma_{m, PK}",0.08813934443746768,0.08798300173460534,0.31407133093331696,0.08814298094013977,0.08809688566623002,0.08797149579533878,0.08812716772246271,0.08827094621907249,0.08827363070755363,0.08819347401868437,0.11072702581748714,0.091
"\sigma_{c, PD}",41.78818887188997,41.840065882179196,194.8431011138357,41.9173985582507,41.94641477520661,262.881107490738,263.2351231429164,42.051711217076246,41.97774423739683,41.89321388554969,101.43740691750392,42.43
Log-posterior,-2679.878976340845,-2680.0805043236987,-8678.613566750053,-2679.77651779087,-2679.7574310647656,-6822.351173073472,-6821.810934569811,-2679.8606018511655,-2679.6000252161643,-2679.7659153637264,nan,nan
