rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.80937,0.416437,2.32827,4.99001,20.117,985.832,0.438824,85.1568
2,1,2.81641,0.402022,2.33888,4.86551,20.261,983.281,0.436651,84.9539
3,1,2.82434,0.372585,2.33152,4.916,19.9171,982.438,0.438352,84.9538
4,1,2.81077,0.383762,2.3337,5.05001,20.1521,983.503,0.43286,85.0508
5,1,2.82111,0.374348,2.33307,5.00529,19.8783,982.23,0.438094,85.098
6,1,2.80257,0.401551,2.32512,4.94153,20.3337,983.014,0.43631,84.8226
7,1,2.79915,0.385522,2.32438,4.88965,20.0462,982.648,0.438012,84.5379
8,1,2.80868,0.395475,2.33865,4.95681,20.3912,981.233,0.433453,84.7622
9,1,2.80052,0.410498,2.33183,4.94413,20.2314,982.036,0.438634,84.8974
10,1,2.80915,0.395774,2.34901,5.03451,19.8517,983.746,0.437533,84.8684
1,2,2.82035,0.520506,2.32796,4.89902,20.1338,984.446,0.437043,85.4952
2,2,2.81383,0.478879,2.32336,4.9399,19.7581,985.383,0.440056,85.3679
3,2,2.81081,0.506521,2.33375,4.91439,20.2002,981.766,0.436056,85.4215
4,2,2.82609,0.553835,2.34178,4.85675,19.9332,980.38,0.43942,85.117
5,2,2.81965,0.538468,2.3611,4.87726,20.2012,981.02,0.437505,85.3471
6,2,2.8134,0.562279,2.3406,5.09922,20.1591,982.266,0.435468,84.9828
7,2,2.81611,0.556363,2.37164,4.97653,20.2433,982.436,0.43357,84.9716
8,2,2.80806,0.531272,2.3272,4.9908,19.7316,983.536,0.437981,85.2789
9,2,2.82893,0.504024,2.35701,5.05045,20.0855,985.402,0.436805,85.1508
10,2,2.81608,0.499347,2.35171,4.95692,19.6001,983.397,0.436636,85.1906
1,3,2.8257,0.929135,2.32426,4.98938,19.8871,983.005,0.43738,85.3415
2,3,2.81832,0.976001,2.3243,4.89924,20.1974,986.252,0.438173,85.2952
3,3,2.81815,0.990162,2.33298,4.96438,19.7368,983.936,0.437027,84.8404
4,3,2.80992,0.943253,2.34281,4.89631,19.759,983.388,0.436529,84.9919
5,3,2.81273,0.992472,2.34189,5.02631,19.9532,980.076,0.434908,85.0491
6,3,2.81008,1.00643,2.32771,5.01111,19.603,981.144,0.437578,85.212
7,3,2.81087,0.942285,2.33815,4.97587,19.7769,982.168,0.433603,85.2943
8,3,2.82631,0.922459,2.35082,4.84464,19.8404,981.527,0.434895,85.255
9,3,2.80384,0.978533,2.35545,4.92703,19.9728,980.296,0.434639,85.3465
10,3,2.80502,0.903928,2.34178,5.04454,20.0404,980.334,0.437226,85.4854
1,4,2.82054,0.738511,2.34212,4.92417,19.7632,983.594,0.432175,85.0362
2,4,2.80504,0.730785,2.33351,5.10898,20.3188,983.653,0.437805,85.1175
3,4,2.81197,0.695918,2.36658,4.88819,20.0024,985.234,0.437247,85.0147
4,4,2.8172,0.726597,2.36935,4.9382,19.8201,985.051,0.434224,85.0746
5,4,2.82631,0.690252,2.32587,5.00457,20.1367,982.07,0.437289,85.1789
6,4,2.81765,0.674539,2.35847,4.92803,20.2603,981.058,0.440889,85.4159
7,4,2.81146,0.711557,2.33558,5.0141,20.1344,984.164,0.439211,85.2263
8,4,2.80965,0.680357,2.33995,4.93625,20.1848,982.094,0.434218,84.9175
9,4,2.80115,0.708829,2.32847,4.93834,20.3512,981.087,0.436059,85.1078
10,4,2.81198,0.699454,2.33393,4.91961,19.6282,984.177,0.43738,84.9009
1,5,2.81779,1.20269,2.33749,4.79053,20.2102,983.268,0.438628,85.035
2,5,2.8201,1.13634,2.32711,4.91232,20.0774,986.332,0.438901,85.1036
3,5,2.82198,1.14279,2.31706,4.98101,19.9559,986.184,0.440836,85.2004
4,5,2.80708,1.11018,2.3384,4.99357,19.8811,983.711,0.438782,84.9947
5,5,2.83016,1.13981,2.34611,4.84884,19.8221,979.9,0.439926,85.1587
6,5,2.80871,1.15023,2.35496,4.91398,20.1979,983.737,0.437275,85.0845
7,5,2.81954,1.22156,2.32752,4.87305,20.1148,983.485,0.43531,85.1809
8,5,2.82768,1.14581,2.33356,4.93129,20.2736,985.874,0.435845,85.0873
9,5,2.80701,1.13494,2.3544,5.00624,20.2846,984.571,0.439455,85.4288
10,5,2.80996,1.17323,2.35082,4.98008,19.8615,983.829,0.433805,85.3286
1,6,2.81773,1.01584,2.35819,4.94534,20.168,984.542,0.436727,85.0531
2,6,2.81019,1.01756,2.35633,4.85033,20.035,982.887,0.436249,84.8225
3,6,2.81324,0.997606,2.33873,4.97759,20.0817,980.708,0.438364,85.3196
4,6,2.81565,0.988112,2.37394,4.99026,19.3925,984.17,0.435304,85.3259
5,6,2.81782,1.05079,2.34335,4.9007,19.8854,981.777,0.441181,85.0615
6,6,2.80633,1.04367,2.3357,4.93049,19.815,982.223,0.438155,84.7903
7,6,2.81001,0.902446,2.34811,4.8431,19.8127,983.512,0.435857,85.0766
8,6,2.81405,1.06704,2.33374,5.00439,19.3208,982.305,0.436802,85.2345
9,6,2.8182,1.00725,2.33079,5.02041,19.662,984.298,0.437829,84.7672
10,6,2.80883,1.00802,2.34477,4.91804,19.8359,980.515,0.436723,85.2319
1,7,2.82334,0.736079,2.33569,4.9973,20.3609,985.407,0.438704,85.1065
2,7,2.81159,0.728504,2.31553,4.97533,20.2331,981.905,0.439065,85.3452
3,7,2.83283,0.745605,2.31922,5.0102,19.7334,984.932,0.434286,84.892
4,7,2.82158,0.691888,2.35765,4.89545,20.4279,983.936,0.436578,84.9268
5,7,2.82174,0.759338,2.31611,5.08116,20.048,982.497,0.435001,85.1614
6,7,2.81315,0.761953,2.34305,4.98348,20.0934,983.863,0.439344,85.2345
7,7,2.82173,0.763596,2.33833,4.93609,19.5729,986.05,0.437847,85.3023
8,7,2.80814,0.734027,2.31255,5.01669,20.0019,982.398,0.437527,85.1864
9,7,2.80302,0.789977,2.30086,5.0318,19.6939,981.082,0.439139,85.114
10,7,2.81239,0.7344,2.31472,5.00535,19.9271,983.552,0.439225,85.0873
1,8,2.8126,1.00543,2.35314,4.98859,19.8482,982.912,0.436402,85.3316
2,8,2.81213,0.955134,2.33248,4.88428,19.6721,981.497,0.436657,85.2325
3,8,2.81835,1.02778,2.35114,4.99344,20.0787,982.709,0.438714,85.0133
4,8,2.80446,1.00988,2.34373,4.91882,19.7565,982.453,0.438716,85.172
5,8,2.81095,1.01914,2.34365,4.96289,19.8267,982.609,0.438501,85.2486
6,8,2.81094,1.02182,2.34092,4.94402,20.5636,982.961,0.435875,85.0615
7,8,2.81325,1.02484,2.35972,4.94551,19.5735,982.966,0.438597,84.7979
8,8,2.82527,1.01842,2.33224,4.98409,19.7026,983.702,0.434852,85.2277
9,8,2.80745,0.975697,2.33569,4.96108,19.8958,984.469,0.435481,84.8355
10,8,2.82099,1.05803,2.33509,4.97012,19.9337,984.373,0.435672,85.1001
1,9,2.81358,0.891264,2.3229,4.91249,20.0117,980.975,0.436863,84.9736
2,9,2.81593,0.859332,2.34689,4.98603,20.5031,981.991,0.43775,85.1987
3,9,2.82233,0.916615,2.33793,4.80247,19.8108,983.585,0.4355,85.2233
4,9,2.81771,0.929097,2.34151,4.92653,20.396,984.705,0.439268,85.3886
5,9,2.82256,0.820419,2.34126,4.85649,19.9563,981.359,0.436791,85.2805
6,9,2.8173,0.898853,2.34983,4.911,19.9941,980.417,0.437562,85.0748
7,9,2.82053,0.88174,2.32434,5.00877,20.3009,982.015,0.437955,85.2492
8,9,2.81465,0.899099,2.35952,4.96797,19.5756,981.984,0.438411,85.1781
9,9,2.81644,0.875024,2.33917,4.98962,19.863,985.02,0.436716,85.1035
10,9,2.82278,0.923551,2.3473,4.96019,19.9354,979.474,0.439502,85.0611
1,10,2.81396,0.911639,2.34443,4.94913,19.821,979.264,0.434943,85.0441
2,10,2.81801,0.927703,2.33833,4.78699,19.9895,983.996,0.433598,85.2743
3,10,2.8102,0.913088,2.30923,4.86372,19.8557,984.132,0.439435,84.8963
4,10,2.81741,0.934362,2.34657,4.90899,19.526,986.503,0.439507,85.0308
5,10,2.82091,0.904049,2.35055,4.88303,19.3608,980.286,0.434802,84.7039
6,10,2.81639,0.959375,2.3467,4.97173,19.9054,981.597,0.436448,85.1825
7,10,2.81553,0.899289,2.3516,4.90856,19.8378,984.703,0.437714,85.1482
8,10,2.80233,0.892432,2.34349,4.97901,19.7786,983.582,0.435454,85.1472
9,10,2.81961,0.910606,2.32499,4.89472,19.6031,984.852,0.434385,85.1451
10,10,2.80683,0.930259,2.34432,4.88582,19.9182,985.674,0.43706,85.0415
