id,importanceSampling
1,54.403158
2,57.389715
3,79.440218
4,39.091232
5,70.097184
6,77.097336
7,63.493661
8,82.274557
9,55.247207
10,65.342117
11,74.699338
12,41.119289
13,51.295578
14,37.223099
15,54.492647
16,126.219175
17,150.458078
18,142.626900
19,140.800727
20,127.176410
21,143.941172
22,130.235461
23,170.762093
24,130.002006
25,119.337752
26,138.485387
27,143.197794
28,143.321853
29,106.028199
30,138.963577
31,196.350505
32,157.249491
33,174.105359
34,175.865517
35,149.408487
36,140.451729
37,169.196936
38,161.789356
39,154.056438
40,177.798966
41,182.111453
42,194.829493
43,182.079686
44,197.221072
45,197.465755
