parameter,value,CV,se_sa,rse_sa
Cl_pop,2.8145554405233,,0.004566808801947,0.162256842988245
V1_pop,0.690460406529577,,0.033154036827241,4.80172889186815
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,19.9722486014879,,0.125995625307593,0.630853479854074
R0_pop,982.977987640637,,0.912159698256661,0.0927955365965055
gamma_pop,0.437492951634867,,nan,nan
MTT_pop,85.1234117559916,,0.0752447016503759,0.088394837681162
omega_Cl,0.00263854970964762,0.263855430199269,0.00195634449344722,74.1446896487878
omega_V1,0.31960852358806,32.7946882796318,0.0339434453692647,10.6203191918042
omega_Q,0.00650068664089025,0.650075531950368,nan,nan
omega_V2,0.0127980573502279,1.27985814174368,0.011509527899614,89.9318356266701
omega_S,0.0123731447840399,1.23736183648994,0.00581359384935345,46.985580067344
omega_R0,0.00176112904779663,0.176113041333888,0.00118056908956541,67.0347860676329
omega_gamma,0.00468884107892696,0.468886685036445,0.00290574705182297,61.9715405771005
omega_MTT,0.00204536613743965,0.204536827664163,0.00100724580929042,49.2452569177308
bPK_central_drug_concentration,0.08865323809452,,0.00134897285193186,1.52162840402244
acirculating_R,41.6612032045719,,0.629135216784783,1.5101225322166
