rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.81182,0.38776,2.34107,4.95029,20.3579,986.329,0.43341,85.1907
2,1,2.80269,0.381777,2.34107,4.95029,20.4437,980.255,0.439455,85.1056
3,1,2.81231,0.409804,2.34107,4.95029,20.0311,989.117,0.437638,84.6596
4,1,2.81416,0.400588,2.34107,4.95029,19.9151,983.828,0.434684,84.9196
5,1,2.82549,0.421178,2.34107,4.95029,20.1649,983.199,0.436463,85.069
6,1,2.82105,0.388333,2.34107,4.95029,20.098,980.201,0.438188,85.0292
7,1,2.80934,0.406485,2.34107,4.95029,20.1045,987.23,0.434235,85.1946
8,1,2.82522,0.412402,2.34107,4.95029,20.1996,985.725,0.431467,84.8715
9,1,2.82225,0.382744,2.34107,4.95029,20.1011,983.776,0.434166,85.0984
10,1,2.82145,0.405328,2.34107,4.95029,20.2595,982.207,0.439213,85.0039
1,2,2.81596,0.568236,2.34107,4.95029,20.0451,980.486,0.432897,84.9086
2,2,2.8006,0.505649,2.34107,4.95029,19.8564,984.985,0.431336,85.3108
3,2,2.7973,0.487711,2.34107,4.95029,19.8901,988.254,0.434417,85.0714
4,2,2.81104,0.476099,2.34107,4.95029,20.3552,983.87,0.439859,85.2603
5,2,2.80082,0.502467,2.34107,4.95029,20.3539,983.264,0.434891,85.1236
6,2,2.83655,0.52343,2.34107,4.95029,20.1178,983.152,0.433023,85.1082
7,2,2.82356,0.520523,2.34107,4.95029,20.2907,983.804,0.437906,85.1084
8,2,2.8096,0.538237,2.34107,4.95029,20.1269,985.476,0.435074,85.2326
9,2,2.81604,0.534939,2.34107,4.95029,20.1815,986.487,0.437149,85.37
10,2,2.82518,0.534826,2.34107,4.95029,20.2094,981.686,0.433176,84.9121
1,3,2.82323,0.968736,2.34107,4.95029,20.2105,982.698,0.43424,85.1127
2,3,2.82033,0.956803,2.34107,4.95029,20.1853,983.718,0.435318,85.1445
3,3,2.82676,0.940809,2.34107,4.95029,20.1796,976.823,0.432688,85.0733
4,3,2.80635,0.954123,2.34107,4.95029,20.0664,980.385,0.435991,85.2654
5,3,2.7981,0.919213,2.34107,4.95029,20.1853,981.199,0.435566,84.9454
6,3,2.81647,0.926578,2.34107,4.95029,20.1487,982.745,0.438084,84.9497
7,3,2.81916,0.945672,2.34107,4.95029,19.7578,982.404,0.434241,85.0044
8,3,2.83909,0.940284,2.34107,4.95029,19.8999,978.431,0.432695,85.1461
9,3,2.8125,0.931915,2.34107,4.95029,20.0668,980.286,0.436269,85.3387
10,3,2.80733,0.9676,2.34107,4.95029,20.1725,986.884,0.43626,85.3082
1,4,2.80761,0.718981,2.34107,4.95029,20.1627,984.565,0.440262,84.8808
2,4,2.80502,0.674395,2.34107,4.95029,19.7692,983.631,0.43326,84.8966
3,4,2.80674,0.691927,2.34107,4.95029,20.296,980.892,0.435078,85.0304
4,4,2.81847,0.700627,2.34107,4.95029,20.0576,988.24,0.439008,84.9386
5,4,2.83072,0.689688,2.34107,4.95029,20.2089,986.338,0.435519,85.1792
6,4,2.85048,0.680217,2.34107,4.95029,20.1478,989.228,0.435206,85.0655
7,4,2.7985,0.68209,2.34107,4.95029,20.2249,984.47,0.432612,85.0171
8,4,2.82017,0.714864,2.34107,4.95029,20.3153,989.394,0.434572,85.1342
9,4,2.82028,0.72041,2.34107,4.95029,20.162,987.824,0.436702,85.0908
10,4,2.82721,0.723988,2.34107,4.95029,20.0153,986.097,0.437041,85.0236
1,5,2.81157,1.14685,2.34107,4.95029,20.1884,988.154,0.43795,85.1606
2,5,2.79516,1.14823,2.34107,4.95029,20.0331,982.195,0.436286,85.2496
3,5,2.81791,1.17618,2.34107,4.95029,20.1892,983.549,0.436845,84.8541
