id,importanceSampling
1,54.252255
2,57.468704
3,79.084024
4,38.681444
5,70.113575
6,77.197143
7,63.151871
8,81.853370
9,55.216394
10,65.683436
11,74.735819
12,40.867024
13,51.379839
14,37.118983
15,54.863305
16,126.439609
17,151.294028
18,142.584252
19,140.751664
20,128.144664
21,142.900498
22,130.261962
23,171.042119
24,130.074559
25,118.882470
26,137.980141
27,143.109503
28,142.923370
29,105.914544
30,137.393694
31,196.236742
32,157.053513
33,174.696222
34,175.021022
35,148.991934
36,140.492905
37,169.103780
38,162.576916
39,152.832068
40,178.221502
41,181.982211
42,195.026124
43,182.448221
44,197.111952
45,197.749567
