parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81989429687907,,0.00615769276442882,0.21836608454593
V1_pop,0.693329556552587,,0.0336111901115105,4.84779421183686
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,20.0938611466226,,0.137982085771952,0.686687763815588
R0_pop,983.534003371533,,1.10175690619526,0.112020215103745
gamma_pop,0.436333344160015,,0.00112964628703459,0.25889524652517
MTT_pop,85.047580340561,,0.115273464503228,0.135539969557784
omega_Cl,0.00419272198055114,0.419274040648735,0.00314546690140085,75.0220719616467
omega_V1,0.321765117023822,33.0275884927111,0.0345773782181594,10.7461550021283
omega_S,0.00800534616974148,0.800547442824779,0.00396555989671052,49.5363949619006
omega_R0,0.00285365011569636,0.285365592525137,0.00114063892800979,39.9712256851589
omega_gamma,0.0054754924859845,0.547553352644171,0.005419519397282,98.9777524333057
omega_MTT,0.00164696615264249,0.164696726949098,0.00102926226563448,62.4944394869964
bPK_central_drug_concentration,0.0888424616123452,,0.00136833425109475,1.5401804793133
acirculating_R,41.620908587618,,0.632798814845029,1.52038683517179
