id,importanceSampling
1,54.235533
2,57.385421
3,78.842804
4,38.813474
5,70.020980
6,76.780142
7,62.822437
8,81.531262
9,55.161351
10,65.631733
11,74.648303
12,41.406194
13,51.190471
14,37.142029
15,54.755203
16,126.258824
17,150.812586
18,142.586290
19,140.410646
20,127.836750
21,142.855433
22,130.675818
23,170.638259
24,130.134735
25,119.043628
26,138.272363
27,142.656577
28,142.493235
29,106.095851
30,138.549360
31,196.070024
32,156.853853
33,174.882834
34,175.023396
35,148.879495
36,141.418515
37,169.517619
38,162.834981
39,152.775322
40,177.674434
41,182.872118
42,194.744686
43,182.192210
44,197.722888
45,197.751408
