parameter,value,CV,se_sa,rse_sa
Cl_pop,2.82148841777006,,0.00506651527083683,0.179568884243059
V1_pop,0.693541892440124,,0.0335945080191825,4.84390465599493
Q_pop,2.34107,,,
V2_pop,4.94374777668706,,0.0312592278760564,0.63229819335573
S_pop,20.0636929423431,,0.114229147330967,0.569332613189541
R0_pop,983.170887992106,,0.949276571676284,0.0965525508607111
gamma_pop,0.435705198411076,,0.000631843768249489,0.145016348336832
MTT_pop,85.0197058238759,,0.0838437245834192,0.0986168133269094
omega_Cl,0.00296251214845079,0.296251864857192,0.00248088824827853,83.7427198256682
omega_V1,0.32216431050096,33.0707255848122,0.0344605704356462,10.6965822446504
omega_V2,0.0139120259883534,1.39126991644118,0.00883937205655827,63.5376332962448
omega_S,0.00978088144490515,0.9781115373139,0.00466978907485021,47.744051506551
omega_MTT,0.00174472666497631,0.174472799271568,0.000935941687643535,53.644029545238
bPK_central_drug_concentration,0.0888173863425903,,0.00137828513689787,1.55181906792606
acirculating_R,41.7187712965417,,0.627758599244849,1.50473894540822
