rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.8907,0.404693,2.4977,5.15297,20.8999,982.392,0.434089,84.9756
2,1,2.8907,0.407485,2.4977,5.15297,20.8999,985.392,0.434089,84.9756
3,1,2.8907,0.411429,2.4977,5.15297,20.8999,983.376,0.434089,84.9756
4,1,2.8907,0.424758,2.4977,5.15297,20.8999,978.924,0.434089,84.9756
5,1,2.8907,0.426637,2.4977,5.15297,20.8999,986.793,0.434089,84.9756
6,1,2.8907,0.428422,2.4977,5.15297,20.8999,980.814,0.434089,84.9756
7,1,2.8907,0.432352,2.4977,5.15297,20.8999,981.774,0.434089,84.9756
8,1,2.8907,0.408422,2.4977,5.15297,20.8999,984.313,0.434089,84.9756
9,1,2.8907,0.466371,2.4977,5.15297,20.8999,982.516,0.434089,84.9756
10,1,2.8907,0.407621,2.4977,5.15297,20.8999,978.013,0.434089,84.9756
1,2,2.8907,0.519599,2.4977,5.15297,20.8999,980.905,0.434089,84.9756
2,2,2.8907,0.609756,2.4977,5.15297,20.8999,987.494,0.434089,84.9756
3,2,2.8907,0.559418,2.4977,5.15297,20.8999,984.243,0.434089,84.9756
4,2,2.8907,0.549579,2.4977,5.15297,20.8999,983.002,0.434089,84.9756
5,2,2.8907,0.5712,2.4977,5.15297,20.8999,986.695,0.434089,84.9756
6,2,2.8907,0.543912,2.4977,5.15297,20.8999,981.016,0.434089,84.9756
7,2,2.8907,0.559596,2.4977,5.15297,20.8999,979.346,0.434089,84.9756
8,2,2.8907,0.588301,2.4977,5.15297,20.8999,982.644,0.434089,84.9756
9,2,2.8907,0.592809,2.4977,5.15297,20.8999,983.142,0.434089,84.9756
10,2,2.8907,0.592805,2.4977,5.15297,20.8999,985.073,0.434089,84.9756
1,3,2.8907,0.950972,2.4977,5.15297,20.8999,982.673,0.434089,84.9756
2,3,2.8907,0.992244,2.4977,5.15297,20.8999,979.847,0.434089,84.9756
3,3,2.8907,1.03106,2.4977,5.15297,20.8999,984.079,0.434089,84.9756
4,3,2.8907,1.05588,2.4977,5.15297,20.8999,978.672,0.434089,84.9756
5,3,2.8907,1.03186,2.4977,5.15297,20.8999,981.602,0.434089,84.9756
6,3,2.8907,1.01196,2.4977,5.15297,20.8999,977.61,0.434089,84.9756
7,3,2.8907,1.09425,2.4977,5.15297,20.8999,976.706,0.434089,84.9756
8,3,2.8907,1.02692,2.4977,5.15297,20.8999,983.125,0.434089,84.9756
9,3,2.8907,0.990039,2.4977,5.15297,20.8999,982.169,0.434089,84.9756
10,3,2.8907,1.0617,2.4977,5.15297,20.8999,983.033,0.434089,84.9756
1,4,2.8907,0.744256,2.4977,5.15297,20.8999,981.489,0.434089,84.9756
