id,importanceSampling
1,55.742101
2,54.654826
3,78.602622
4,39.361332
5,71.837241
6,75.335976
7,64.521702
8,78.261610
9,57.526589
10,66.052230
11,71.265208
12,42.430892
13,53.937065
14,36.593777
15,57.464477
16,130.217223
17,151.082937
18,140.421536
19,140.496609
20,128.499269
21,139.914478
22,131.443113
23,171.158167
24,137.831180
25,118.552162
26,145.134379
27,145.241580
28,142.950583
29,103.257796
30,139.962196
31,201.737273
32,157.901524
33,181.166137
34,172.286390
35,153.675872
36,141.606469
37,168.609637
38,161.727932
39,152.894942
40,185.058198
41,185.022471
42,198.074649
43,182.629145
44,196.807690
45,201.835703
