parameter,value,CV,se_sa,rse_sa
Cl_pop,2.89069837996507,,0.000380831518655667,0.0131743775585563
V1_pop,0.736408777630585,,0.0354243657826271,4.8104214478005
Q_pop,2.49770354982465,,nan,nan
V2_pop,5.15296787485695,,nan,nan
S_pop,20.899859983527,,nan,nan
R0_pop,982.09609115427,,0.904279132657602,0.0920764414808729
gamma_pop,0.434088520355143,,0.000160043843591574,0.0368689417219872
MTT_pop,84.9755504559669,,nan,nan
omega_V1,0.320784960425629,32.9217071954083,0.034216202006294,10.6663984374126
omega_R0,0.00239457301580276,0.239457644840883,0.00165633946249458,69.1705557343095
bPK_central_drug_concentration,0.0900390543590201,,0.00135699860111051,1.50712222687239
acirculating_R,41.8499008327248,,0.632721148181476,1.51188207281656
