rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.85516,0.41901,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
2,1,2.85516,0.409435,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
3,1,2.85516,0.426329,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
4,1,2.85516,0.375616,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
5,1,2.85516,0.404075,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
6,1,2.85516,0.407322,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
7,1,2.85516,0.403448,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
8,1,2.85516,0.412272,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
9,1,2.85516,0.394848,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
10,1,2.85516,0.427697,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
1,2,2.85516,0.54168,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
2,2,2.85516,0.539534,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
3,2,2.85516,0.53567,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
4,2,2.85516,0.534119,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
5,2,2.85516,0.537883,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
6,2,2.85516,0.55113,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
7,2,2.85516,0.545756,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
8,2,2.85516,0.538746,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
9,2,2.85516,0.534515,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
10,2,2.85516,0.542323,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
1,3,2.85516,0.980065,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
2,3,2.85516,0.98741,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
3,3,2.85516,0.989923,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
4,3,2.85516,0.946472,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
5,3,2.85516,1.00323,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
6,3,2.85516,0.968616,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
7,3,2.85516,1.00058,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
8,3,2.85516,1.01256,2.41521,5.04019,20.5783,982.701,0.43451,84.9893
