id,importanceSampling
1,54.278712
2,55.237239
3,78.152637
4,38.569269
5,70.505995
6,75.848476
7,63.276487
8,79.842296
9,55.796377
10,65.970157
11,72.529862
12,41.398923
13,52.302572
14,36.396067
15,56.100882
16,127.970485
17,150.983232
18,141.070011
19,141.152212
20,128.396162
21,140.705408
22,131.080635
23,171.011729
24,134.291813
25,117.999020
26,141.427971
27,143.651639
28,144.113830
29,104.463626
30,139.575957
31,198.742685
32,156.826552
33,178.007237
34,172.244501
35,149.683723
36,142.075799
37,168.273625
38,162.618591
39,152.484079
40,180.765080
41,183.304392
42,196.204195
43,181.923314
44,197.540150
45,199.387526
