parameter,value,CV,se_sa,rse_sa
Cl_pop,2.85515696950928,,nan,nan
V1_pop,0.713101883335479,,0.034319950003155,4.81276950814182
Q_pop,2.41520882306436,,nan,nan
V2_pop,5.04019278265282,,nan,nan
S_pop,20.5783060274194,,nan,nan
R0_pop,982.700663948043,,0.911544315967115,0.092759102482433
gamma_pop,0.434509693257082,,0.000108691962105288,0.0250148532453981
MTT_pop,84.9893355610156,,nan,nan
omega_V1,0.320940859020921,32.9385447979175,0.0344015857143317,10.7189797582268
bPK_central_drug_concentration,0.0893565256069511,,0.00134695255424748,1.50739136856358
acirculating_R,41.8365835583204,,0.627833423469393,1.50068043341586
