rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82122,0.412257,2.34107,4.94328,20.4352,983.353,0.435053,84.6986
2,1,2.82122,0.41301,2.34107,4.92052,19.8189,983.353,0.435053,85.2192
3,1,2.82122,0.378395,2.34107,4.983,20.2722,983.353,0.435053,85.3819
4,1,2.82122,0.382122,2.34107,4.87261,20.2887,983.353,0.435053,85.0036
5,1,2.82122,0.398747,2.34107,5.01997,19.9078,983.353,0.435053,84.8995
6,1,2.82122,0.394694,2.34107,4.95219,20.1775,983.353,0.435053,84.9939
7,1,2.82122,0.405453,2.34107,4.93781,20.4464,983.353,0.435053,85.0618
8,1,2.82122,0.392835,2.34107,4.93698,20.5865,983.353,0.435053,84.7399
9,1,2.82122,0.389621,2.34107,4.9315,20.0663,983.353,0.435053,85.0345
10,1,2.82122,0.399418,2.34107,4.99615,19.8823,983.353,0.435053,84.4788
1,2,2.82122,0.540737,2.34107,4.95168,20.1538,983.353,0.435053,85.1797
2,2,2.82122,0.483334,2.34107,4.92942,19.8648,983.353,0.435053,84.8715
3,2,2.82122,0.492134,2.34107,4.91507,20.0064,983.353,0.435053,85.0094
4,2,2.82122,0.524079,2.34107,5.00214,20.0717,983.353,0.435053,85.0347
5,2,2.82122,0.478827,2.34107,4.96308,19.9287,983.353,0.435053,85.108
6,2,2.82122,0.536535,2.34107,4.931,20.3276,983.353,0.435053,84.588
7,2,2.82122,0.53453,2.34107,4.92138,20.1822,983.353,0.435053,85.4001
8,2,2.82122,0.542805,2.34107,5.01883,19.7673,983.353,0.435053,85.1254
9,2,2.82122,0.540809,2.34107,4.93466,20.0684,983.353,0.435053,85.1776
10,2,2.82122,0.558035,2.34107,4.91604,20.083,983.353,0.435053,84.8967
1,3,2.82122,0.943432,2.34107,4.97211,20.3806,983.353,0.435053,85.0228
2,3,2.82122,1.01822,2.34107,5.01185,20.1514,983.353,0.435053,85.2093
3,3,2.82122,0.958316,2.34107,4.96067,20.3919,983.353,0.435053,85.1172
4,3,2.82122,0.935153,2.34107,4.99447,19.8285,983.353,0.435053,85.1888
5,3,2.82122,0.990814,2.34107,4.96871,20.1923,983.353,0.435053,85.5795
