id,importanceSampling
1,54.133151
2,57.159366
3,78.794758
4,38.601977
5,70.065625
6,76.830709
7,63.003214
8,81.555680
9,55.207997
10,65.426212
11,74.684526
12,41.226201
13,51.187237
14,36.963889
15,54.538082
16,126.439651
17,150.973642
18,142.648569
19,140.262914
20,128.254630
21,142.932143
22,130.666395
23,170.618239
24,130.003246
25,119.085535
26,137.926649
27,142.829614
28,143.582641
29,106.117354
30,138.762635
31,196.033972
32,157.013655
33,174.838006
34,174.414081
35,148.880766
36,141.482886
37,169.760986
38,162.946792
39,153.222544
40,177.824472
41,183.127014
42,194.601836
43,182.456189
44,196.839629
45,197.694983
