parameter,value,CV,se_sa,rse_sa
Cl_pop,2.82122197642757,,nan,nan
V1_pop,0.692854517258873,,0.0335670466137314,4.84474673652011
Q_pop,2.34107,,,
V2_pop,4.94257488385923,,0.0365408534622923,0.739308039249385
S_pop,20.0778561244144,,0.193688964489447,0.964689473264649
R0_pop,983.353049600984,,1.07702363692883,0.109525631447002
gamma_pop,0.435053045850459,,0.000470656658830762,0.108183740654132
MTT_pop,84.9661409637761,,0.222342368367379,0.261683496326109
omega_V1,0.321577402052815,33.0073067546825,0.0343754408577506,10.6896319947584
omega_V2,0.00954270106070401,0.954291831191755,0.0360916741862239,378.212352630914
omega_S,0.0127387183592758,1.27392351704533,0.0246801604496603,193.741314892084
omega_MTT,0.00268735348789625,0.268735833981764,0.00190431541292728,70.8621110510491
bPK_central_drug_concentration,0.088950950322052,,0.00144855227244102,1.62848431320458
acirculating_R,41.6804740420778,,0.638157646647239,1.53107099022674
