rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.819,0.407526,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,1,2.819,0.397405,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,1,2.819,0.395124,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,1,2.819,0.374255,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,1,2.819,0.384259,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,1,2.819,0.397983,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,1,2.819,0.38695,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,1,2.819,0.397251,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,1,2.819,0.391816,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
10,1,2.819,0.410621,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
1,2,2.819,0.535368,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,2,2.819,0.525334,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,2,2.819,0.496841,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,2,2.819,0.525334,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,2,2.819,0.522254,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,2,2.819,0.524917,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,2,2.819,0.530783,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,2,2.819,0.52347,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,2,2.819,0.525552,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
10,2,2.819,0.524155,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
1,3,2.819,0.954162,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,3,2.819,0.960657,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,3,2.819,0.962399,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,3,2.819,0.920646,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,3,2.819,0.943612,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,3,2.819,0.941127,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,3,2.819,0.974033,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,3,2.819,0.983893,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,3,2.819,0.948512,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
10,3,2.819,0.9308,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
1,4,2.819,0.728998,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,4,2.819,0.662269,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,4,2.819,0.722339,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,4,2.819,0.705724,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,4,2.819,0.681593,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,4,2.819,0.733893,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,4,2.819,0.746964,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,4,2.819,0.758238,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,4,2.819,0.739864,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
10,4,2.819,0.705713,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
1,5,2.819,1.14105,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,5,2.819,1.17192,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,5,2.819,1.19427,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,5,2.819,1.13943,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,5,2.819,1.15016,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,5,2.819,1.10606,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,5,2.819,1.15288,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,5,2.819,1.1577,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,5,2.819,1.15115,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
10,5,2.819,1.14931,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
1,6,2.819,1.03173,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
2,6,2.819,0.9698,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
3,6,2.819,0.984712,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
4,6,2.819,1.00152,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
5,6,2.819,0.991672,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
6,6,2.819,1.0138,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
7,6,2.819,1.04092,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
8,6,2.819,1.00351,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
9,6,2.819,1.02162,2.34107,4.95029,20.3786,983.404,0.431738,84.7817
