id,importanceSampling
1,53.182231
2,56.515505
3,77.949018
4,38.158704
5,69.459810
6,76.342467
7,62.915790
8,82.268703
9,55.351653
10,66.538341
11,74.441157
12,40.579374
13,51.423222
14,36.555039
15,55.382764
16,127.592841
17,151.213046
18,141.530730
19,142.102316
20,128.465190
21,143.572863
22,131.267127
23,172.080247
24,130.265645
25,118.966870
26,137.567161
27,142.780220
28,143.483190
29,107.794200
30,140.867034
31,196.133890
32,156.132118
33,175.977293
34,172.484944
35,148.284783
36,142.738672
37,169.706369
38,163.103603
39,152.819001
40,177.555132
41,181.920164
42,195.009196
43,182.187523
44,198.703679
45,198.139000
