parameter,value,CV,se_sa,rse_sa
Cl_pop,2.819,,,
V1_pop,0.693150857559689,,0.0334368398434208,4.82389071278636
Q_pop,2.34106626736,,,
V2_pop,4.95029203419,,,
S_pop,20.3785518112454,,nan,nan
R0_pop,983.404321898518,,0.909299170271777,0.0924644268917105
gamma_pop,0.431738418303797,,0.000145513433934894,0.0337040735236358
MTT_pop,84.7817177578048,,nan,nan
omega_V1,0.321837772192664,33.0354390394304,0.0343883514788724,10.6849955008657
bPK_central_drug_concentration,0.0889590180550014,,0.00134126615483669,1.50773489204593
acirculating_R,41.8549998173167,,0.62803128345191,1.50049285914003
