parameter,value,CV,se_sa,rse_sa
Cl_pop,2.819,,,
V1_pop,0.693150857559689,,0.0334381279566333,4.82407654725493
Q_pop,2.34106626736,,,
V2_pop,4.95029203419,,,
S_pop,20.3785518112454,,nan,nan
R0_pop,983.404321898518,,0.911412150195834,0.0926792906946251
gamma_pop,0.431738418303797,,0.000239098885991862,0.0553804979717182
MTT_pop,84.7817177578048,,nan,nan
omega_V1,0.321837772192664,33.0354390394304,0.0343525548698719,10.6738729378562
bPK_central_drug_concentration,0.0889590180550014,,0.00134150429499378,1.50800258852269
acirculating_R,41.8549998173167,,0.628091665968482,1.50063712509831
