rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82177,0.407003,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
2,1,2.82177,0.397228,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
3,1,2.82177,0.40015,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
4,1,2.82177,0.364699,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
5,1,2.82177,0.389398,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
6,1,2.82177,0.393197,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
7,1,2.82177,0.391414,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
8,1,2.82177,0.406432,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
9,1,2.82177,0.397646,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
10,1,2.82177,0.373932,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
1,2,2.82177,0.525547,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
2,2,2.82177,0.514213,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
3,2,2.82177,0.494125,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
4,2,2.82177,0.532959,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
5,2,2.82177,0.522094,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
6,2,2.82177,0.539814,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
7,2,2.82177,0.515357,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
8,2,2.82177,0.494439,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
9,2,2.82177,0.523951,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
10,2,2.82177,0.541397,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
1,3,2.82177,0.954476,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
2,3,2.82177,0.96125,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
3,3,2.82177,0.963482,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
4,3,2.82177,0.920854,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
5,3,2.82177,0.944585,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
6,3,2.82177,0.942678,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
7,3,2.82177,0.97543,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
8,3,2.82177,0.985221,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
9,3,2.82177,0.946393,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
10,3,2.82177,0.930828,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
1,4,2.82177,0.731413,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
2,4,2.82177,0.660223,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
3,4,2.82177,0.724524,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
4,4,2.82177,0.703938,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
5,4,2.82177,0.706492,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
6,4,2.82177,0.73416,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
7,4,2.82177,0.747626,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
8,4,2.82177,0.758478,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
9,4,2.82177,0.742711,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
10,4,2.82177,0.707685,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
1,5,2.82177,1.14121,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
2,5,2.82177,1.17565,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
3,5,2.82177,1.19674,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
4,5,2.82177,1.14186,2.34107,4.95029,20.2114,983.249,0.434662,84.9758
