id,importanceSampling
1,53.487050
2,56.977992
3,78.267098
4,38.453564
5,70.373639
6,76.810657
7,62.677193
8,81.688024
9,54.959097
10,66.103401
11,74.468792
12,41.088793
13,51.095452
14,36.894139
15,55.052358
16,126.415612
17,151.165996
18,141.819027
19,142.001625
20,128.132575
21,142.179840
22,130.651126
23,171.071999
24,131.000617
25,118.809691
26,137.694913
27,142.654178
28,144.635456
29,106.527487
30,139.075024
31,195.945548
32,156.158936
33,175.289886
34,173.930543
35,148.279169
36,142.058778
37,168.977608
38,163.886802
39,153.173918
40,178.153820
41,182.506315
42,194.814952
43,182.274662
44,198.633859
45,198.449171
