parameter,value,CV,se_sa,rse_sa
Cl_pop,2.82177215746844,,nan,nan
V1_pop,0.693365743987819,,0.0334937536559375,4.8306040421469
Q_pop,2.34106626736,,,
V2_pop,4.95029203419,,,
S_pop,20.2114021238446,,nan,nan
R0_pop,983.249463708393,,0.910287638011005,0.092579520417717
gamma_pop,0.434662422950364,,0.000474252473046861,0.109108229284642
MTT_pop,84.9758285691958,,nan,nan
omega_V1,0.322140602121384,33.0681634117656,0.0347498412917814,10.78716593405
bPK_central_drug_concentration,0.0890826859581005,,0.00134283052827621,1.50739788976256
acirculating_R,41.8547792258442,,0.627717621229386,1.49975136134941
