rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.87044,0.391405,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,1,2.87044,0.407764,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,1,2.87044,0.389253,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,1,2.87044,0.417618,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,1,2.87044,0.414879,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,1,2.87044,0.399714,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,1,2.87044,0.415734,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,1,2.87044,0.375277,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,1,2.87044,0.427552,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,1,2.87044,0.387951,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,2,2.87044,0.537699,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,2,2.87044,0.555636,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,2,2.87044,0.528334,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,2,2.87044,0.538514,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,2,2.87044,0.534222,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,2,2.87044,0.510308,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,2,2.87044,0.517267,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,2,2.87044,0.551575,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,2,2.87044,0.54023,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,2,2.87044,0.569844,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,3,2.87044,0.981663,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,3,2.87044,0.975749,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,3,2.87044,0.97617,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,3,2.87044,1.00834,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,3,2.87044,0.967032,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,3,2.87044,0.953928,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,3,2.87044,1.02591,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,3,2.87044,1.02992,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,3,2.87044,1.02007,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,3,2.87044,0.978266,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,4,2.87044,0.7267,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,4,2.87044,0.753808,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,4,2.87044,0.768644,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,4,2.87044,0.782441,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,4,2.87044,0.76335,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,4,2.87044,0.728438,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,4,2.87044,0.721422,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,4,2.87044,0.734174,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,4,2.87044,0.729027,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,4,2.87044,0.703763,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,5,2.87044,1.17786,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,5,2.87044,1.13281,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,5,2.87044,1.1769,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,5,2.87044,1.18613,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,5,2.87044,1.17819,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,5,2.87044,1.19491,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,5,2.87044,1.17629,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,5,2.87044,1.1961,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,5,2.87044,1.23809,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,5,2.87044,1.17897,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,6,2.87044,1.01717,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,6,2.87044,1.02441,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
3,6,2.87044,1.09149,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
4,6,2.87044,1.07406,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
5,6,2.87044,1.04629,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
6,6,2.87044,1.04572,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
7,6,2.87044,1.03475,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
8,6,2.87044,1.05179,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
9,6,2.87044,1.04323,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
10,6,2.87044,1.07418,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
1,7,2.87044,0.75293,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
2,7,2.87044,0.711787,2.41619,4.95029,20.7231,982.778,0.432945,84.8893
