id,importanceSampling
1,55.800536
2,56.453102
3,78.277397
4,38.467389
5,68.871968
6,74.642548
7,63.115126
8,78.367353
9,56.115200
10,66.135278
11,72.580649
12,42.024801
13,53.697037
14,36.854694
15,57.009096
16,128.782823
17,150.616852
18,141.230816
19,140.987139
20,132.151314
21,140.453368
22,131.428096
23,171.198145
24,134.670459
25,117.088870
26,142.095999
27,145.020138
28,143.715217
29,105.209154
30,138.346916
31,200.511292
32,158.357489
33,180.669926
34,172.293767
35,150.013140
36,142.154191
37,170.453989
38,162.859690
39,151.410565
40,181.733736
41,185.396562
42,196.527472
43,182.509808
44,197.448938
45,199.440341
