parameter,value,CV,se_sa,rse_sa
Cl_pop,2.87044278283159,,nan,nan
V1_pop,0.712204428397936,,0.034153534131402,4.79546781367654
Q_pop,2.41619200167206,,nan,nan
V2_pop,4.95029203419,,,
S_pop,20.7230643428305,,nan,nan
R0_pop,982.778420651176,,0.902412949070013,0.0918226255387339
gamma_pop,0.432944760306513,,6.38428902026325e-05,0.0147461976806079
MTT_pop,84.8893047170324,,nan,nan
omega_V1,0.319904505577085,32.8266384949179,0.0343014123903136,10.7223911487074
bPK_central_drug_concentration,0.089861105395601,,0.00135541585728198,1.50834540852235
acirculating_R,41.8752122451678,,0.6283811871679,1.50060418437739
