rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82073,0.392536,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
2,1,2.82073,0.378741,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
3,1,2.82073,0.381818,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
4,1,2.82073,0.394186,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
5,1,2.82073,0.40115,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
6,1,2.82073,0.41717,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
7,1,2.82073,0.402285,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
8,1,2.82073,0.423186,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
9,1,2.82073,0.42931,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
10,1,2.82073,0.387796,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
1,2,2.82073,0.561872,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
2,2,2.82073,0.553029,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
3,2,2.82073,0.522118,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
4,2,2.82073,0.539664,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
5,2,2.82073,0.512241,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
6,2,2.82073,0.523028,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
7,2,2.82073,0.523429,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
8,2,2.82073,0.540797,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
9,2,2.82073,0.501581,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
10,2,2.82073,0.512714,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
1,3,2.82073,0.961215,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
2,3,2.82073,0.919701,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
3,3,2.82073,0.974174,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
4,3,2.82073,0.938586,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
5,3,2.82073,0.974485,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
6,3,2.82073,0.982024,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
7,3,2.82073,0.947112,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
8,3,2.82073,0.928497,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
9,3,2.82073,0.988146,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
10,3,2.82073,1.00258,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
1,4,2.82073,0.724458,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
2,4,2.82073,0.701595,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
3,4,2.82073,0.705907,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
4,4,2.82073,0.73288,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
5,4,2.82073,0.746357,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
6,4,2.82073,0.75904,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
7,4,2.82073,0.741867,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
8,4,2.82073,0.70644,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
9,4,2.82073,0.701928,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
10,4,2.82073,0.713715,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
1,5,2.82073,1.19586,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
2,5,2.82073,1.20339,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
3,5,2.82073,1.14845,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
4,5,2.82073,1.1017,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
5,5,2.82073,1.14943,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
6,5,2.82073,1.15411,2.34107,4.95029,19.9684,983.356,0.437298,85.1163
