id,importanceSampling
1,54.837254
2,57.406952
3,79.022663
4,38.774430
5,71.397944
6,77.303231
7,62.851109
8,81.480937
9,54.907275
10,65.330750
11,74.672273
12,41.512951
13,50.919520
14,37.157820
15,54.331945
16,125.437374
17,150.797917
18,143.150589
19,140.054454
20,127.646808
21,142.583171
22,129.967912
23,170.066865
24,129.484240
25,119.961913
26,137.921255
27,142.161965
28,143.929823
29,105.982322
30,138.217886
31,195.968248
32,156.437038
33,174.351414
34,176.905343
35,148.818916
36,142.191734
37,168.735386
38,163.708412
39,152.443676
40,177.320436
41,183.353771
42,194.398330
43,181.473399
44,198.405678
45,197.156237
