parameter,value,CV,se_sa,rse_sa
Cl_pop,2.82072629651568,,0.000495522354743359,0.0175671902430043
V1_pop,0.692273643238069,,0.0333335414384526,4.81508168974005
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,19.9684102346243,,nan,nan
R0_pop,983.355815019727,,0.905698688198361,0.0921028456195372
gamma_pop,0.43729772370233,,8.32706055518675e-05,0.0190420852976015
MTT_pop,85.1163025371901,,nan,nan
omega_V1,0.321186970102579,32.9651282274362,0.0342259192689299,10.6560733948824
bPK_central_drug_concentration,0.0890912541929349,,0.00134456666388655,1.50920163383801
acirculating_R,41.8142938796876,,0.628182459544625,1.50231512064295
