rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.87297,0.41554,2.50761,5.29634,20.6016,982.523,0.437296,85.0245
2,1,2.87628,0.447479,2.50761,5.20907,20.7321,984.558,0.440498,84.9433
3,1,2.88124,0.423466,2.50761,5.29977,20.4243,983.451,0.438497,84.9227
4,1,2.86722,0.423114,2.50761,5.28297,20.5166,984.881,0.439577,84.7646
5,1,2.8613,0.41363,2.50761,5.31449,20.2878,984.844,0.433563,85.0303
6,1,2.86419,0.424769,2.50761,5.23863,20.7724,983.664,0.434503,85.0012
7,1,2.85462,0.428406,2.50761,5.20457,20.4074,979.478,0.435697,84.9206
8,1,2.8894,0.420983,2.50761,5.18389,20.635,984.898,0.438776,85.1365
9,1,2.87258,0.408264,2.50761,5.22249,20.704,985.76,0.43573,84.9424
10,1,2.88211,0.425074,2.50761,5.26559,20.5138,981.29,0.429036,84.9906
1,2,2.88157,0.563236,2.50761,5.22302,20.7595,983.666,0.430585,84.8425
2,2,2.87851,0.541026,2.50761,5.25496,20.5648,981.876,0.432464,85.0879
3,2,2.87635,0.571897,2.50761,5.32646,20.2425,985.524,0.43391,85.134
4,2,2.87547,0.548319,2.50761,5.19572,20.1326,983.397,0.429756,84.919
5,2,2.88738,0.613922,2.50761,5.24686,20.303,982.523,0.439103,85.0293
6,2,2.87317,0.534263,2.50761,5.22805,20.3276,983.393,0.431511,85.1712
7,2,2.87728,0.569176,2.50761,5.24311,20.4689,982.061,0.432631,85.0709
8,2,2.88562,0.603873,2.50761,5.29867,20.5439,985.748,0.432731,85.0135
9,2,2.88224,0.553029,2.50761,5.28033,20.2116,983.054,0.433116,84.9393
10,2,2.87292,0.592804,2.50761,5.20016,20.2422,980.699,0.433458,85.0351
1,3,2.87095,1.02115,2.50761,5.2511,20.1425,984.64,0.430103,85.0856
2,3,2.87782,1.05452,2.50761,5.31406,20.5142,983.516,0.431076,85.0505
3,3,2.8849,1.11882,2.50761,5.2336,20.1097,980.745,0.436153,84.9682
4,3,2.87331,1.00269,2.50761,5.28861,20.2917,979.427,0.436971,84.8993
5,3,2.88967,0.995032,2.50761,5.24395,20.7827,982.728,0.439768,85.065
6,3,2.89801,1.01033,2.50761,5.24135,20.1138,981.697,0.433024,84.9022
7,3,2.89601,0.996087,2.50761,5.22415,20.7459,982.46,0.437691,85.2388
8,3,2.88526,1.00992,2.50761,5.18781,20.1458,981.568,0.435489,84.9968
9,3,2.89141,1.05619,2.50761,5.33349,20.0785,984.194,0.431144,84.9737
10,3,2.89014,1.09887,2.50761,5.20518,20.5369,986.479,0.435958,85.0222
1,4,2.90059,0.804951,2.50761,5.25737,20.3258,982.419,0.440743,84.996
2,4,2.89499,0.782273,2.50761,5.31001,20.4446,985.899,0.431653,84.9397
3,4,2.87525,0.749235,2.50761,5.25786,20.4641,985.747,0.43574,84.9543
4,4,2.86807,0.736305,2.50761,5.10081,20.3138,984.392,0.433749,84.9213
5,4,2.87524,0.75325,2.50761,5.16881,20.8117,983.361,0.435245,85.1151
6,4,2.88625,0.744041,2.50761,5.32429,20.4513,982.516,0.44085,85.0176
7,4,2.86803,0.711416,2.50761,5.21873,20.3201,984.999,0.434194,85.1061
8,4,2.87312,0.744895,2.50761,5.20711,20.7162,983.906,0.436006,84.9987
9,4,2.88135,0.767611,2.50761,5.18656,20.4702,981.081,0.435979,85.0601
10,4,2.87662,0.761276,2.50761,5.17973,20.7005,982.187,0.43065,84.7454
1,5,2.89118,1.28817,2.50761,5.25795,20.4335,983.218,0.440085,85.0742
2,5,2.86848,1.21849,2.50761,5.21931,20.4481,983.578,0.43235,85.0455
3,5,2.86797,1.18963,2.50761,5.23671,20.2623,984.125,0.434617,84.8791
4,5,2.87552,1.27963,2.50761,5.22837,20.4414,979.866,0.4349,85.171
5,5,2.87765,1.24634,2.50761,5.22465,20.7385,983.204,0.433012,85.0623
6,5,2.87139,1.28106,2.50761,5.17631,20.6557,985.924,0.437781,84.9129
7,5,2.8649,1.2879,2.50761,5.18848,20.3679,985.565,0.435238,84.9242
8,5,2.86675,1.181,2.50761,5.11111,20.6111,988.158,0.435699,84.8586
9,5,2.87786,1.21652,2.50761,5.22794,20.8311,982.068,0.43539,85.1668
10,5,2.87122,1.18256,2.50761,5.08758,20.3486,982.943,0.435859,85.0645
1,6,2.88461,1.07354,2.50761,5.22474,20.0752,984.283,0.426173,84.9645
2,6,2.87472,1.0345,2.50761,5.09109,20.3541,983.19,0.435902,85.0467
3,6,2.87865,1.15406,2.50761,5.20612,20.3872,983.456,0.43268,84.9094
4,6,2.86601,1.09526,2.50761,5.15372,20.4013,983.749,0.430307,85.1806
5,6,2.88117,1.05097,2.50761,5.17423,20.2075,982.689,0.433768,84.9708
6,6,2.87614,1.03822,2.50761,5.24521,20.4659,980.061,0.431674,85.1346
7,6,2.89222,1.06614,2.50761,5.19532,20.1284,982.361,0.434458,85.024
8,6,2.87258,1.09461,2.50761,5.19658,20.0285,983.573,0.433459,84.9305
9,6,2.86606,1.03315,2.50761,5.27221,20.5131,982.728,0.431761,84.8729
10,6,2.90938,1.09626,2.50761,5.26006,20.3113,979.117,0.434101,84.8365
1,7,2.8881,0.744952,2.50761,5.27263,20.6907,980.443,0.431251,85.0178
2,7,2.87993,0.821599,2.50761,5.20951,20.0025,981.146,0.440302,84.8804
3,7,2.87032,0.767492,2.50761,5.19042,20.2497,986.023,0.43642,85.0532
4,7,2.89365,0.800849,2.50761,5.15717,20.4415,983.063,0.436417,85.0408
5,7,2.90011,0.81065,2.50761,5.23189,20.7966,982.244,0.436601,85.0698
6,7,2.86484,0.748745,2.50761,5.26678,20.1051,981.975,0.43304,85.2304
7,7,2.90402,0.803284,2.50761,5.19118,20.1512,982.484,0.431954,85.0897
8,7,2.89159,0.766269,2.50761,5.20412,20.4882,984.572,0.428997,85.0174
9,7,2.89742,0.791171,2.50761,5.33035,20.6047,983.845,0.429857,84.9946
10,7,2.896,0.788922,2.50761,5.23638,20.16,980.141,0.436519,85.0578
1,8,2.87999,1.05895,2.50761,5.216,20.6507,984.494,0.434914,85.0826
2,8,2.898,1.09728,2.50761,5.14807,20.1048,981.521,0.435805,85.0683
3,8,2.87485,1.05315,2.50761,5.25328,20.1679,985.26,0.429768,85.1066
4,8,2.89602,1.08374,2.50761,5.1862,20.2423,983.746,0.430486,85.1813
5,8,2.91121,1.17344,2.50761,5.20051,20.8349,981.399,0.434701,85.0376
6,8,2.90296,1.14323,2.50761,5.20792,20.788,985.908,0.43645,85.0247
7,8,2.89908,1.11967,2.50761,5.18685,20.4299,984.403,0.438925,85.1491
8,8,2.88335,1.05518,2.50761,5.19699,20.3497,983.162,0.434622,84.9285
9,8,2.88691,1.1182,2.50761,5.17584,20.4387,983.728,0.43371,85.0952
10,8,2.87999,1.10741,2.50761,5.30186,20.459,981.919,0.432513,85.0412
1,9,2.89976,0.917319,2.50761,5.1934,20.5348,981.773,0.432683,85.09
2,9,2.88843,0.965833,2.50761,5.24602,20.6209,981.518,0.438463,85.098
3,9,2.86633,0.936352,2.50761,5.38887,20.3674,986.527,0.436568,84.8828
4,9,2.8738,0.95249,2.50761,5.23757,20.4471,982.487,0.441018,85.076
5,9,2.87744,0.969084,2.50761,5.11399,20.5536,979.061,0.434595,85.1944
6,9,2.90382,0.999158,2.50761,5.19638,20.7209,982.22,0.437157,85.1188
7,9,2.87703,0.9557,2.50761,5.19996,20.6657,985.527,0.433104,85.0493
8,9,2.88446,1.00772,2.50761,5.23913,20.469,982.45,0.436207,85.0964
9,9,2.90247,0.966202,2.50761,5.20371,20.5349,982.127,0.432979,85.1456
10,9,2.89595,0.96316,2.50761,5.22478,20.4162,981.004,0.439278,85.0997
1,10,2.88166,0.909998,2.50761,5.32535,20.4353,983.788,0.428871,85.0407
2,10,2.89824,0.964629,2.50761,5.18662,20.0895,981.508,0.433174,85.0623
3,10,2.89285,0.949944,2.50761,5.21689,20.0751,985.337,0.439954,85.1448
4,10,2.86532,0.996772,2.50761,5.19582,20.805,980.785,0.43475,85.0894
5,10,2.87778,0.953868,2.50761,5.20947,20.4016,981.968,0.43851,85.0941
6,10,2.87505,0.939894,2.50761,5.25239,20.4561,982.468,0.433354,85.0745
7,10,2.89285,1.02982,2.50761,5.21135,20.8429,985.88,0.431362,84.9209
8,10,2.8944,0.963977,2.50761,5.17354,20.641,986.386,0.434232,85.0105
9,10,2.89533,0.949788,2.50761,5.18653,20.4004,982.173,0.435066,85.0627
10,10,2.89566,0.965328,2.50761,5.25473,20.6261,983.095,0.43645,84.9896
1,11,2.8748,1.45145,2.50761,5.16775,20.6632,982.846,0.436631,85.0251
2,11,2.87932,1.41033,2.50761,5.25962,20.4674,986.594,0.433639,85.0267
