id,importanceSampling
1,56.758671
2,54.757919
3,79.889711
4,40.000295
5,73.707254
6,76.538763
7,65.192080
8,78.743583
9,58.611823
10,64.380894
11,72.047526
12,42.798511
13,53.544597
14,37.050573
15,55.948065
16,130.198892
17,150.941352
18,141.418003
19,139.137701
20,126.225080
21,141.783489
22,130.390208
23,169.998563
24,135.683976
25,120.874723
26,144.015088
27,145.528571
28,142.809018
29,104.698395
30,139.571359
31,200.061235
32,158.310901
33,178.059289
34,175.990372
35,151.854400
36,141.890406
37,169.415495
38,160.016438
39,154.061096
40,184.042480
41,183.960304
42,196.585028
43,183.484092
44,193.207750
45,201.142029
