parameter,value,CV,se_sa,rse_sa
Cl_pop,2.88176493707723,,0.00523712498477607,0.181733246782013
V1_pop,0.736412057618819,,0.0358429225154278,4.86723732244763
Q_pop,2.50761030755732,,nan,nan
V2_pop,5.22389920476584,,0.0303865281984839,0.581682896384406
S_pop,20.4539501719204,,0.246104174722284,1.20321098200455
R0_pop,983.30644314368,,1.01259346973989,0.102978423135577
gamma_pop,0.43541910406228,,0.00398934720393696,0.916208583114062
MTT_pop,85.0131271089092,,0.285524296577727,0.335859068225952
omega_Cl,0.00452264926565164,0.452267239273211,0.00349077003741874,77.1841863557769
omega_V1,0.323181552729898,33.1806868390925,0.0348340693878359,10.7784832066045
omega_V2,0.0101222244331797,1.01224837180465,0.00860773667294774,85.0379946598736
omega_S,0.0104646617099223,1.04649482104977,0.00707676407573738,67.625349695035
omega_R0,0.00193695275247234,0.193695456920379,0.00156211390727204,80.6480129821516
omega_gamma,0.00700984237808448,0.700992849118468,0.00311017123091167,44.3686328901673
omega_MTT,0.00124526832354148,0.124526880632206,nan,nan
bPK_central_drug_concentration,0.0897053336422846,,0.00136774492561054,1.52470858763499
acirculating_R,41.67220343738,,0.631232026440715,1.51475557895386
