rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82258,0.3889,2.34107,5.06334,20.1524,983.171,0.435705,84.873
2,1,2.82616,0.39501,2.34107,4.98534,20.0946,983.171,0.435705,84.9385
3,1,2.83247,0.417022,2.34107,4.9427,20.2637,983.171,0.435705,84.9434
4,1,2.81198,0.39834,2.34107,4.9785,20.0143,983.171,0.435705,84.8189
5,1,2.82196,0.39893,2.34107,4.92964,20.2727,983.171,0.435705,84.9972
6,1,2.82937,0.419746,2.34107,4.9583,20.2863,983.171,0.435705,84.8828
7,1,2.82443,0.430926,2.34107,4.94447,20.0487,983.171,0.435705,84.9839
8,1,2.81527,0.398265,2.34107,4.87026,19.7689,983.171,0.435705,84.8967
9,1,2.81423,0.390765,2.34107,4.95012,20.0904,983.171,0.435705,84.952
10,1,2.82159,0.398656,2.34107,5.08468,20.1229,983.171,0.435705,85.0746
1,2,2.82377,0.490883,2.34107,4.85907,20.0041,983.171,0.435705,84.9877
2,2,2.81189,0.512428,2.34107,5.09866,19.759,983.171,0.435705,84.8532
3,2,2.81566,0.576893,2.34107,4.99666,20.0712,983.171,0.435705,84.9387
4,2,2.83881,0.538601,2.34107,4.9923,20.416,983.171,0.435705,84.9744
5,2,2.82204,0.514988,2.34107,4.84864,20.1074,983.171,0.435705,85.2338
6,2,2.80356,0.529964,2.34107,4.93999,20.1578,983.171,0.435705,84.8496
7,2,2.81112,0.491824,2.34107,4.88324,20.0607,983.171,0.435705,85.0482
8,2,2.81598,0.519843,2.34107,4.90587,20.2027,983.171,0.435705,84.9409
9,2,2.83001,0.49036,2.34107,4.80508,20.0178,983.171,0.435705,85.1368
10,2,2.82989,0.555903,2.34107,4.97666,20.1176,983.171,0.435705,85.13
1,3,2.83467,1.0024,2.34107,5.08517,19.9404,983.171,0.435705,85.1469
2,3,2.82407,0.950573,2.34107,4.96793,20.081,983.171,0.435705,85.2906
3,3,2.83309,0.978636,2.34107,5.10712,19.8652,983.171,0.435705,85.0848
4,3,2.82543,0.989251,2.34107,4.91368,19.9205,983.171,0.435705,85.227
5,3,2.82566,0.986695,2.34107,4.97361,20.4101,983.171,0.435705,84.9236
6,3,2.84607,0.979117,2.34107,4.95758,20.1674,983.171,0.435705,85.1325
7,3,2.84149,0.968468,2.34107,5.00089,20.104,983.171,0.435705,85.2925
8,3,2.81788,0.954144,2.34107,4.98635,20.2657,983.171,0.435705,85.0692
