rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82018,0.372464,2.34107,4.96615,19.8937,983.136,0.436372,85.2692
2,1,2.82018,0.390366,2.34107,4.8836,20.4183,983.136,0.436372,85.1956
3,1,2.82018,0.388404,2.34107,5.02878,19.8725,983.136,0.436372,85.2657
4,1,2.82018,0.404503,2.34107,5.01016,20.0707,983.136,0.436372,85.0453
5,1,2.82018,0.363664,2.34107,4.98729,20.4527,983.136,0.436372,85.0997
6,1,2.82018,0.389659,2.34107,4.92453,20.3785,983.136,0.436372,84.9137
7,1,2.82018,0.41388,2.34107,4.90726,20.0467,983.136,0.436372,85.0179
8,1,2.82018,0.387,2.34107,4.98381,20.0629,983.136,0.436372,84.913
9,1,2.82018,0.38555,2.34107,4.91586,20.1449,983.136,0.436372,85.0018
10,1,2.82018,0.402412,2.34107,4.98508,20.1643,983.136,0.436372,84.9656
1,2,2.82018,0.466356,2.34107,4.92726,20.0411,983.136,0.436372,85.0885
2,2,2.82018,0.56295,2.34107,4.94297,20.1296,983.136,0.436372,84.9898
3,2,2.82018,0.489121,2.34107,4.93083,20.0424,983.136,0.436372,85.1718
4,2,2.82018,0.481936,2.34107,4.90681,20.1767,983.136,0.436372,84.9764
5,2,2.82018,0.505148,2.34107,4.96422,20.4696,983.136,0.436372,85.2138
6,2,2.82018,0.497775,2.34107,4.91319,20.2284,983.136,0.436372,85.0447
7,2,2.82018,0.513294,2.34107,4.89074,20.0522,983.136,0.436372,85.0956
8,2,2.82018,0.533995,2.34107,4.97145,20.1028,983.136,0.436372,85.1549
9,2,2.82018,0.555721,2.34107,4.95239,20.2292,983.136,0.436372,85.1752
10,2,2.82018,0.547555,2.34107,5.09163,20.0443,983.136,0.436372,85.1216
1,3,2.82018,0.961331,2.34107,4.97714,20.3247,983.136,0.436372,85.1414
2,3,2.82018,0.936736,2.34107,5.04554,19.8802,983.136,0.436372,85.0626
3,3,2.82018,0.988547,2.34107,4.9125,20.14,983.136,0.436372,85.2549
4,3,2.82018,1.07157,2.34107,5.07525,20.0122,983.136,0.436372,85.1121
5,3,2.82018,0.936726,2.34107,4.85456,19.6514,983.136,0.436372,85.0503
6,3,2.82018,1.00641,2.34107,5.03572,19.9227,983.136,0.436372,84.984
7,3,2.82018,0.98024,2.34107,5.05796,20.3951,983.136,0.436372,85.0381
8,3,2.82018,0.93797,2.34107,4.99475,19.9177,983.136,0.436372,85.1835
9,3,2.82018,0.961684,2.34107,4.96623,19.9543,983.136,0.436372,85.141
10,3,2.82018,0.982987,2.34107,4.99369,20.1761,983.136,0.436372,84.8937
1,4,2.82018,0.6895,2.34107,4.98059,20.4046,983.136,0.436372,84.8765
2,4,2.82018,0.680113,2.34107,4.90336,20.2754,983.136,0.436372,85.1183
3,4,2.82018,0.70936,2.34107,4.90421,20.3851,983.136,0.436372,84.9517
4,4,2.82018,0.70886,2.34107,4.91195,20.2964,983.136,0.436372,85.1512
5,4,2.82018,0.726412,2.34107,5.01094,19.9937,983.136,0.436372,85.2547
6,4,2.82018,0.663028,2.34107,4.79109,20.066,983.136,0.436372,85.0339
7,4,2.82018,0.730007,2.34107,4.93037,20.4273,983.136,0.436372,84.8803
8,4,2.82018,0.707263,2.34107,4.90513,20.2461,983.136,0.436372,85.1798
9,4,2.82018,0.691568,2.34107,4.95074,20.2992,983.136,0.436372,84.8967
10,4,2.82018,0.691959,2.34107,4.88442,19.8268,983.136,0.436372,85.1738
1,5,2.82018,1.12618,2.34107,4.86544,20.3639,983.136,0.436372,84.9289
2,5,2.82018,1.116,2.34107,4.83841,20.0369,983.136,0.436372,85.0456
3,5,2.82018,1.0941,2.34107,4.82311,20.2412,983.136,0.436372,85.3881
4,5,2.82018,1.15491,2.34107,4.92324,20.1076,983.136,0.436372,84.8531
5,5,2.82018,1.09374,2.34107,4.8684,20.1193,983.136,0.436372,85.1974
6,5,2.82018,1.09518,2.34107,4.84933,20.4005,983.136,0.436372,84.9862
7,5,2.82018,1.18445,2.34107,4.80537,20.0755,983.136,0.436372,85.0781
8,5,2.82018,1.14633,2.34107,4.83433,20.0834,983.136,0.436372,85.0377
9,5,2.82018,1.16895,2.34107,4.91508,20.1188,983.136,0.436372,85.1149
10,5,2.82018,1.206,2.34107,5.02058,20.2603,983.136,0.436372,85.0597
1,6,2.82018,1.00215,2.34107,4.83029,20.3137,983.136,0.436372,85.1924
2,6,2.82018,1.09011,2.34107,5.04741,19.8874,983.136,0.436372,85.1136
3,6,2.82018,0.999624,2.34107,4.93798,20.0311,983.136,0.436372,85.0873
4,6,2.82018,1.00636,2.34107,4.84832,20.0818,983.136,0.436372,85.1726
5,6,2.82018,0.981698,2.34107,4.84239,20.3825,983.136,0.436372,85.055
6,6,2.82018,1.08711,2.34107,4.95093,19.9812,983.136,0.436372,85.0896
7,6,2.82018,1.02753,2.34107,4.88076,20.0448,983.136,0.436372,85.0327
8,6,2.82018,1.08592,2.34107,4.83995,20.3676,983.136,0.436372,85.0974
9,6,2.82018,1.05419,2.34107,4.83254,20.1969,983.136,0.436372,85.1178
10,6,2.82018,1.04169,2.34107,4.92742,20.2721,983.136,0.436372,84.8273
1,7,2.82018,0.81704,2.34107,5.01627,20.5491,983.136,0.436372,85.142
2,7,2.82018,0.721377,2.34107,5.08456,19.6876,983.136,0.436372,85.0183
3,7,2.82018,0.734893,2.34107,5.02156,19.7377,983.136,0.436372,85.1099
4,7,2.82018,0.727066,2.34107,4.88344,20.0382,983.136,0.436372,85.0852
5,7,2.82018,0.737911,2.34107,4.96532,19.9093,983.136,0.436372,85.1842
6,7,2.82018,0.722909,2.34107,4.85342,20.2615,983.136,0.436372,84.9316
7,7,2.82018,0.760811,2.34107,5.05584,20.4527,983.136,0.436372,84.8587
8,7,2.82018,0.754027,2.34107,4.88602,19.9914,983.136,0.436372,85.13
9,7,2.82018,0.725879,2.34107,4.9233,19.8332,983.136,0.436372,85.0506
10,7,2.82018,0.687436,2.34107,5.05252,20.0456,983.136,0.436372,85.0577
1,8,2.82018,0.982568,2.34107,4.91664,19.7225,983.136,0.436372,84.7368
2,8,2.82018,1.00218,2.34107,4.99872,20.0349,983.136,0.436372,85.1233
3,8,2.82018,0.99777,2.34107,5.06916,20.2928,983.136,0.436372,85.2091
4,8,2.82018,0.961239,2.34107,4.88617,20.1162,983.136,0.436372,85.129
5,8,2.82018,1.02205,2.34107,4.91568,20.0157,983.136,0.436372,85.0503
6,8,2.82018,0.959953,2.34107,4.91672,20.2273,983.136,0.436372,84.9915
7,8,2.82018,1.0381,2.34107,4.9435,20.1462,983.136,0.436372,84.979
8,8,2.82018,1.00173,2.34107,4.93016,20.0719,983.136,0.436372,85.0968
9,8,2.82018,1.10761,2.34107,4.87557,19.9778,983.136,0.436372,84.9805
10,8,2.82018,1.09316,2.34107,4.9369,20.3198,983.136,0.436372,85.3697
1,9,2.82018,0.915523,2.34107,4.96571,19.8249,983.136,0.436372,85.0762
2,9,2.82018,0.948672,2.34107,5.04562,20.01,983.136,0.436372,84.9356
3,9,2.82018,0.919679,2.34107,4.99059,19.899,983.136,0.436372,85.0459
4,9,2.82018,0.913388,2.34107,5.0071,19.5995,983.136,0.436372,85.0522
5,9,2.82018,0.89545,2.34107,4.85161,20.2496,983.136,0.436372,85.0501
6,9,2.82018,0.850987,2.34107,4.89314,19.8969,983.136,0.436372,84.9794
7,9,2.82018,0.910074,2.34107,4.90633,19.9008,983.136,0.436372,85.06
8,9,2.82018,0.839819,2.34107,4.97593,20.1454,983.136,0.436372,85.1348
9,9,2.82018,0.867546,2.34107,4.95487,20.0079,983.136,0.436372,85.1167
10,9,2.82018,0.856071,2.34107,5.00238,20.0612,983.136,0.436372,84.9761
1,10,2.82018,0.950929,2.34107,4.92701,19.798,983.136,0.436372,85.1209
2,10,2.82018,0.941973,2.34107,4.92911,20.114,983.136,0.436372,85.1276
3,10,2.82018,0.918393,2.34107,4.94091,20.0668,983.136,0.436372,85.0814
4,10,2.82018,0.914673,2.34107,4.90044,19.6588,983.136,0.436372,84.914
5,10,2.82018,0.905134,2.34107,4.89642,19.8891,983.136,0.436372,84.9749
6,10,2.82018,0.926869,2.34107,4.94979,20.2079,983.136,0.436372,85.0706
7,10,2.82018,0.9237,2.34107,4.92859,19.8554,983.136,0.436372,85.0221
8,10,2.82018,0.92693,2.34107,4.89303,20.1483,983.136,0.436372,85.0826
9,10,2.82018,0.973541,2.34107,4.95134,19.8809,983.136,0.436372,85.0304
10,10,2.82018,0.965682,2.34107,4.89692,20.1154,983.136,0.436372,85.0985
1,11,2.82018,1.3443,2.34107,4.92212,19.92,983.136,0.436372,85.1157
2,11,2.79836,1.34082,2.34107,4.93362,20.0703,980.21,0.43447,85.128
3,11,2.82018,1.36883,2.34107,5.01565,20.4936,983.136,0.436372,85.0015
4,11,2.79836,1.22374,2.34107,4.97901,20.1964,980.21,0.43447,85.1146
5,11,2.82018,1.29977,2.34107,4.9251,20.3214,983.136,0.436372,85.1746
6,11,2.79836,1.36002,2.34107,4.99937,19.8005,980.21,0.43447,85.1814
7,11,2.82018,1.39772,2.34107,5.04961,20.0461,983.136,0.436372,85.2312
8,11,2.82018,1.28286,2.34107,4.89096,20.1153,983.136,0.436372,85.0799
9,11,2.82018,1.30874,2.34107,4.88092,20.0461,983.136,0.436372,85.1552
10,11,2.82018,1.33435,2.34107,5.07547,19.98,983.136,0.436372,85.0126
1,12,2.82018,0.56593,2.34107,4.94572,20.3334,983.136,0.436372,85.1686
2,12,2.82018,0.568618,2.34107,4.80573,20.0217,983.136,0.436372,84.9867
3,12,2.82018,0.582395,2.34107,4.9233,20.4341,983.136,0.436372,85.0661
4,12,2.82018,0.576512,2.34107,4.88729,20.4201,983.136,0.436372,85.0253
5,12,2.82018,0.594933,2.34107,4.93761,20.0984,983.136,0.436372,85.0597
6,12,2.82018,0.56645,2.34107,4.96238,20.0904,983.136,0.436372,85.1946
7,12,2.82018,0.564095,2.34107,4.96144,20.2593,983.136,0.436372,85.2316
8,12,2.82018,0.580322,2.34107,4.97661,20.1932,983.136,0.436372,85.1309
9,12,2.82018,0.548583,2.34107,4.91614,20.1115,983.136,0.436372,84.9268
10,12,2.82018,0.540628,2.34107,4.98207,20.0905,983.136,0.436372,84.9713
1,13,2.82018,0.601632,2.34107,4.97877,20.153,983.136,0.436372,84.8747
2,13,2.82018,0.590699,2.34107,4.97579,20.1345,983.136,0.436372,85.0216
3,13,2.82018,0.556643,2.34107,4.94312,20.3261,983.136,0.436372,85.0612
4,13,2.82018,0.5648,2.34107,4.98316,19.9598,983.136,0.436372,84.9993
5,13,2.82018,0.594538,2.34107,5.04487,19.9123,983.136,0.436372,85.1548
6,13,2.82018,0.575988,2.34107,5.01349,20.0421,983.136,0.436372,85.2147
7,13,2.82018,0.573404,2.34107,5.00888,20.2459,983.136,0.436372,84.9972
8,13,2.82018,0.534526,2.34107,5.02873,19.979,983.136,0.436372,84.8828
9,13,2.82018,0.551665,2.34107,4.9163,20.2467,983.136,0.436372,85.1696
10,13,2.82018,0.567696,2.34107,4.95152,20.3062,983.136,0.436372,84.9564
1,14,2.82018,0.590401,2.34107,4.92585,19.8166,983.136,0.436372,85.0097
2,14,2.82018,0.613974,2.34107,4.93854,19.9952,983.136,0.436372,85.1408
3,14,2.82018,0.676045,2.34107,4.88492,20.1963,983.136,0.436372,85.0308
4,14,2.82018,0.672808,2.34107,4.99963,20.4343,983.136,0.436372,84.9758
5,14,2.82018,0.650747,2.34107,4.98853,20.3371,983.136,0.436372,84.93
6,14,2.82018,0.640587,2.34107,5.03818,20.0115,983.136,0.436372,84.9544
7,14,2.82018,0.644627,2.34107,5.13506,20.128,983.136,0.436372,84.9577
8,14,2.82018,0.663735,2.34107,4.86891,19.8065,983.136,0.436372,85.199
9,14,2.82018,0.659117,2.34107,4.9784,20.3162,983.136,0.436372,85.0599
10,14,2.82018,0.619166,2.34107,4.94175,20.0088,983.136,0.436372,85.0884
1,15,2.82018,0.648037,2.34107,5.0011,20.1808,983.136,0.436372,85.0463
2,15,2.82018,0.660268,2.34107,5.00352,19.9373,983.136,0.436372,85.134
