rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.80507,0.39929,2.34107,5.05458,19.9587,983.183,0.436976,85.6088
2,1,2.80209,0.403215,2.34107,5.08073,19.9587,983.183,0.436976,85.0837
3,1,2.80355,0.382129,2.34107,5.06383,19.9587,983.183,0.436976,84.8682
4,1,2.8221,0.408411,2.34107,5.0037,19.9587,983.183,0.436976,85.0625
5,1,2.81318,0.371406,2.34107,5.03857,19.9587,983.183,0.436976,85.1315
6,1,2.80651,0.389721,2.34107,5.01493,19.9587,983.183,0.436976,84.966
7,1,2.82245,0.394328,2.34107,4.97783,19.9587,983.183,0.436976,84.9567
8,1,2.82173,0.404542,2.34107,4.97527,19.9587,983.183,0.436976,84.8422
9,1,2.81395,0.39062,2.34107,5.01376,19.9587,983.183,0.436976,84.992
10,1,2.80404,0.397452,2.34107,4.86137,19.9587,983.183,0.436976,84.8916
1,2,2.79344,0.526117,2.34107,4.99923,19.9587,983.183,0.436976,85.406
2,2,2.81711,0.517696,2.34107,5.0431,19.9587,983.183,0.436976,85.1148
3,2,2.80064,0.544744,2.34107,4.90706,19.9587,983.183,0.436976,85.3917
4,2,2.81348,0.53719,2.34107,4.98124,19.9587,983.183,0.436976,84.9653
5,2,2.82273,0.539069,2.34107,4.95738,19.9587,983.183,0.436976,85.4339
6,2,2.82669,0.518852,2.34107,4.87693,19.9587,983.183,0.436976,85.31
7,2,2.82798,0.528297,2.34107,4.96092,19.9587,983.183,0.436976,85.3644
8,2,2.82612,0.485243,2.34107,4.85964,19.9587,983.183,0.436976,84.9933
9,2,2.81778,0.535705,2.34107,5.06331,19.9587,983.183,0.436976,85.3365
10,2,2.82642,0.551275,2.34107,4.99547,19.9587,983.183,0.436976,85.3095
1,3,2.80385,0.987849,2.34107,5.00937,19.9587,983.183,0.436976,85.2614
2,3,2.81502,0.939194,2.34107,4.87894,19.9587,983.183,0.436976,85.4538
3,3,2.83017,0.981935,2.34107,4.9557,19.9587,983.183,0.436976,85.4549
4,3,2.81909,0.882068,2.34107,4.96173,19.9587,983.183,0.436976,85.2509
5,3,2.81626,0.915697,2.34107,4.86678,19.9587,983.183,0.436976,85.132
6,3,2.82485,1.00335,2.34107,4.95341,19.9587,983.183,0.436976,84.9836
7,3,2.80466,0.973893,2.34107,5.04077,19.9587,983.183,0.436976,85.1963
8,3,2.80121,0.964759,2.34107,4.89706,19.9587,983.183,0.436976,85.1405
9,3,2.81458,0.988298,2.34107,5.00979,19.9587,983.183,0.436976,85.2493
10,3,2.80736,0.949542,2.34107,4.90685,19.9587,983.183,0.436976,84.6775
1,4,2.82072,0.728894,2.34107,5.04175,19.9587,983.183,0.436976,84.741
2,4,2.82406,0.688621,2.34107,4.97908,19.9587,983.183,0.436976,84.9733
3,4,2.8231,0.700229,2.34107,5.04237,19.9587,983.183,0.436976,84.6809
4,4,2.82178,0.691452,2.34107,4.95076,19.9587,983.183,0.436976,85.0846
5,4,2.80997,0.772992,2.34107,4.97593,19.9587,983.183,0.436976,85.6179
6,4,2.80521,0.692674,2.34107,4.97499,19.9587,983.183,0.436976,84.5716
7,4,2.79412,0.707047,2.34107,4.96733,19.9587,983.183,0.436976,84.9551
8,4,2.82106,0.671154,2.34107,5.01421,19.9587,983.183,0.436976,85.2384
9,4,2.80847,0.684308,2.34107,4.92785,19.9587,983.183,0.436976,84.8502
10,4,2.8106,0.665913,2.34107,4.90135,19.9587,983.183,0.436976,85.3229
1,5,2.82261,1.06218,2.34107,4.93838,19.9587,983.183,0.436976,85.0202
2,5,2.80897,1.1494,2.34107,4.89052,19.9587,983.183,0.436976,84.9917
3,5,2.79204,1.20808,2.34107,4.92985,19.9587,983.183,0.436976,85.4736
