id,importanceSampling
1,54.550504
2,57.201519
3,79.182862
4,39.113184
5,71.018203
6,77.384359
7,63.139928
8,82.032350
9,55.242059
10,65.511765
11,74.831559
12,41.431788
13,50.984028
14,37.289681
15,54.552017
16,125.968751
17,150.809420
18,142.871026
19,140.096346
20,126.692152
21,143.362621
22,130.376646
23,170.560720
24,129.631697
25,119.810492
26,138.166076
27,142.374054
28,142.220275
29,105.800511
30,138.560032
31,195.754686
32,156.665856
33,173.975361
34,176.898097
35,149.136520
36,141.291045
37,169.300838
38,162.460420
39,153.484400
40,177.467127
41,182.698922
42,194.692078
43,182.015884
44,197.415716
45,197.646101
