parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81545116215593,,0.00511576145053854,0.181703079041199
V1_pop,0.691496773297942,,0.0335196994275084,4.84741226884452
Q_pop,2.34107,,,
V2_pop,4.96722887350957,,0.0276870940407472,0.557395174367816
S_pop,19.9587245467283,,nan,nan
R0_pop,983.183102175573,,0.91829772197065,0.093400478500765
gamma_pop,0.436975550268923,,0.000171225037420327,0.0391841230739231
MTT_pop,85.1133629510313,,0.0800910205095763,0.0940992315808923
omega_Cl,0.00391612209147118,0.391613710593878,0.00158109208622887,40.3739221939043
omega_V1,0.322827816792006,33.142442793458,0.0346050082319313,10.7193390507073
omega_V2,0.0140793741038086,1.40800718668985,0.00612110458140058,43.475686747643
omega_MTT,0.00263132057238943,0.263132512709264,0.00109380194722947,41.5685552990688
bPK_central_drug_concentration,0.088735797256814,,0.00135446083633358,1.5263973257755
acirculating_R,41.7277752604064,,0.62800275246334,1.50499936443826
