rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.83007,0.386472,2.34107,4.93153,20.403,983.327,0.435491,84.9398
2,1,2.81248,0.397349,2.34107,4.93153,20.0236,983.327,0.435491,85.0394
3,1,2.82241,0.394745,2.34107,4.93153,19.8931,983.327,0.435491,85.1647
4,1,2.82032,0.409876,2.34107,4.93153,20.3014,983.327,0.435491,84.8161
5,1,2.82169,0.379155,2.34107,4.93153,20.2579,983.327,0.435491,85.0322
6,1,2.84099,0.390237,2.34107,4.93153,19.8422,983.327,0.435491,85.1545
7,1,2.81532,0.407582,2.34107,4.93153,20.1101,983.327,0.435491,85.2192
8,1,2.81858,0.398003,2.34107,4.93153,20.2672,983.327,0.435491,85.0227
9,1,2.81347,0.375772,2.34107,4.93153,20.0168,983.327,0.435491,84.8179
10,1,2.82073,0.405458,2.34107,4.93153,20.393,983.327,0.435491,84.9098
1,2,2.82627,0.552434,2.34107,4.93153,20.2349,983.327,0.435491,84.97
2,2,2.8112,0.490784,2.34107,4.93153,20.2067,983.327,0.435491,85.013
3,2,2.83123,0.555217,2.34107,4.93153,20.1693,983.327,0.435491,85.1919
4,2,2.81466,0.540188,2.34107,4.93153,20.3596,983.327,0.435491,85.0504
5,2,2.82876,0.521208,2.34107,4.93153,19.9036,983.327,0.435491,85.1832
6,2,2.80616,0.486429,2.34107,4.93153,19.9725,983.327,0.435491,85.0377
7,2,2.79979,0.494929,2.34107,4.93153,20.0509,983.327,0.435491,85.0149
8,2,2.82307,0.499706,2.34107,4.93153,20.3628,983.327,0.435491,84.9679
9,2,2.80441,0.558856,2.34107,4.93153,20.1516,983.327,0.435491,85.2204
10,2,2.80073,0.565168,2.34107,4.93153,20.2514,983.327,0.435491,84.877
1,3,2.82258,1.0326,2.34107,4.93153,20.1738,983.327,0.435491,85.2498
2,3,2.81971,0.963863,2.34107,4.93153,19.8063,983.327,0.435491,85.0653
3,3,2.83719,0.951636,2.34107,4.93153,19.9023,983.327,0.435491,84.8455
4,3,2.81614,0.961405,2.34107,4.93153,20.3339,983.327,0.435491,85.0952
5,3,2.8193,0.946955,2.34107,4.93153,20.1685,983.327,0.435491,85.0897
6,3,2.84605,1.01634,2.34107,4.93153,20.192,983.327,0.435491,85.1373
7,3,2.81423,0.920911,2.34107,4.93153,20.1317,983.327,0.435491,85.1239
8,3,2.80647,0.940024,2.34107,4.93153,19.827,983.327,0.435491,85.1931
9,3,2.82962,0.993798,2.34107,4.93153,19.9794,983.327,0.435491,85.2296
10,3,2.82618,0.887979,2.34107,4.93153,20.0254,983.327,0.435491,85.0819
1,4,2.83295,0.721443,2.34107,4.93153,20.2252,983.327,0.435491,85.1511
2,4,2.8313,0.707228,2.34107,4.93153,20.2574,983.327,0.435491,85.0817
3,4,2.82107,0.679234,2.34107,4.93153,20.2034,983.327,0.435491,84.9842
4,4,2.82439,0.711233,2.34107,4.93153,19.8571,983.327,0.435491,84.9282
5,4,2.78813,0.725196,2.34107,4.93153,19.7744,983.327,0.435491,85.1009
6,4,2.82988,0.695435,2.34107,4.93153,20.1169,983.327,0.435491,85.0976
7,4,2.83066,0.743494,2.34107,4.93153,20.2438,983.327,0.435491,84.7796
8,4,2.83291,0.707369,2.34107,4.93153,20.1688,983.327,0.435491,84.911
9,4,2.83574,0.686478,2.34107,4.93153,20.2641,983.327,0.435491,84.7635
10,4,2.83281,0.692083,2.34107,4.93153,20.2774,983.327,0.435491,85.0588
1,5,2.79844,1.03885,2.34107,4.93153,20.3876,983.327,0.435491,85.1688
