id,importanceSampling
1,54.051360
2,57.311786
3,78.885182
4,38.620398
5,70.265847
6,76.856108
7,62.750993
8,81.280251
9,55.146049
10,65.592950
11,74.590074
12,41.169527
13,51.429734
14,37.035116
15,54.713180
16,126.224255
17,150.795735
18,142.393714
19,140.359801
20,128.682988
21,142.529492
22,130.487212
23,170.575403
24,130.342018
25,119.212245
26,138.092949
27,142.997505
28,143.097229
29,106.296316
30,138.048327
31,196.441485
32,156.761961
33,175.031154
34,174.708882
35,148.729061
36,141.624042
37,169.388800
38,162.925291
39,152.087534
40,177.744218
41,182.907607
42,194.703201
43,181.932927
44,197.809021
45,197.698146
