parameter,value,CV,se_sa,rse_sa
Cl_pop,2.82251918201377,,0.0100494385403938,0.356045004208753
V1_pop,0.692859635446879,,0.0339339507429678,4.89766599277805
Q_pop,2.34107,,,
V2_pop,4.93153109090484,,0.00450869705826197,0.0914259075964725
S_pop,20.0846958854408,,0.393705796207495,1.96022781949558
R0_pop,983.326615704768,,1.26316031342779,0.128457858584705
gamma_pop,0.435491230204892,,6.21626475909747e-05,0.0142741445245012
MTT_pop,85.0001949749783,,0.183136940532793,0.215454729941153
omega_Cl,0.00409606340672805,0.409608058744204,0.00263167539897893,64.2488930873539
omega_V1,0.323526783392534,33.2180176269622,0.0351889958416602,10.8766870775473
omega_S,0.00839922899342393,0.839937713080323,0.00710780309501224,84.6244708958073
omega_MTT,0.00148452849652255,0.148452931440566,0.00289469932258349,194.991159102989
bPK_central_drug_concentration,0.0889255004671384,,0.0013661496444384,1.53628558429452
acirculating_R,41.7491753978214,,0.633662113745888,1.51778354352588
