rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82056,0.384278,2.34107,4.96107,19.9111,981.953,0.44055,85.4671
2,1,2.81722,0.393235,2.34107,4.96107,20.4752,981.953,0.44055,85.4671
3,1,2.83208,0.397073,2.34107,4.96107,20.3852,981.953,0.44055,85.4671
4,1,2.81147,0.423416,2.34107,4.96107,19.803,981.953,0.44055,85.4671
5,1,2.82191,0.398918,2.34107,4.96107,20.0176,981.953,0.44055,85.4671
6,1,2.82359,0.380845,2.34107,4.96107,20.0965,981.953,0.44055,85.4671
7,1,2.82334,0.391001,2.34107,4.96107,20.3327,981.953,0.44055,85.4671
8,1,2.81038,0.424564,2.34107,4.96107,20.1846,981.953,0.44055,85.4671
9,1,2.83609,0.42509,2.34107,4.96107,19.9493,981.953,0.44055,85.4671
10,1,2.83202,0.39447,2.34107,4.96107,20.1197,981.953,0.44055,85.4671
1,2,2.81451,0.516205,2.34107,4.96107,20.0385,981.953,0.44055,85.4671
2,2,2.82371,0.558702,2.34107,4.96107,20.0822,981.953,0.44055,85.4671
3,2,2.81605,0.53538,2.34107,4.96107,20.1006,981.953,0.44055,85.4671
4,2,2.81722,0.529914,2.34107,4.96107,19.9402,981.953,0.44055,85.4671
5,2,2.83937,0.549825,2.34107,4.96107,20.4021,981.953,0.44055,85.4671
6,2,2.80797,0.53639,2.34107,4.96107,20.1334,981.953,0.44055,85.4671
7,2,2.81333,0.504359,2.34107,4.96107,20.4058,981.953,0.44055,85.4671
8,2,2.82841,0.51581,2.34107,4.96107,20.0907,981.953,0.44055,85.4671
9,2,2.7909,0.523517,2.34107,4.96107,20.3117,981.953,0.44055,85.4671
10,2,2.82652,0.579788,2.34107,4.96107,20.0208,981.953,0.44055,85.4671
1,3,2.82736,0.973638,2.34107,4.96107,20.2155,981.953,0.44055,85.4671
2,3,2.82638,0.943051,2.34107,4.96107,20.0227,981.953,0.44055,85.4671
3,3,2.82255,1.01124,2.34107,4.96107,20.3017,981.953,0.44055,85.4671
4,3,2.83403,0.998573,2.34107,4.96107,20.2728,981.953,0.44055,85.4671
5,3,2.82421,0.942987,2.34107,4.96107,20.0093,981.953,0.44055,85.4671
6,3,2.84222,1.00023,2.34107,4.96107,20.249,981.953,0.44055,85.4671
7,3,2.83141,0.919766,2.34107,4.96107,20.6011,981.953,0.44055,85.4671
8,3,2.82618,0.947436,2.34107,4.96107,20.0277,981.953,0.44055,85.4671
9,3,2.81935,0.90895,2.34107,4.96107,20.1928,981.953,0.44055,85.4671
10,3,2.81722,1.00377,2.34107,4.96107,20.0886,981.953,0.44055,85.4671
1,4,2.81805,0.740795,2.34107,4.96107,20.1405,981.953,0.44055,85.4671
2,4,2.8117,0.71744,2.34107,4.96107,19.8557,981.953,0.44055,85.4671
3,4,2.81387,0.673927,2.34107,4.96107,20.3198,981.953,0.44055,85.4671
4,4,2.82987,0.702341,2.34107,4.96107,19.9899,981.953,0.44055,85.4671
5,4,2.8055,0.666232,2.34107,4.96107,20.2855,981.953,0.44055,85.4671
6,4,2.81914,0.701189,2.34107,4.96107,20.2793,981.953,0.44055,85.4671
7,4,2.8352,0.709657,2.34107,4.96107,20.4163,981.953,0.44055,85.4671
8,4,2.82,0.681231,2.34107,4.96107,19.8864,981.953,0.44055,85.4671
9,4,2.82019,0.678505,2.34107,4.96107,20.1839,981.953,0.44055,85.4671
10,4,2.81926,0.705132,2.34107,4.96107,20.3816,981.953,0.44055,85.4671
1,5,2.81248,1.14451,2.34107,4.96107,19.7723,981.953,0.44055,85.4671
2,5,2.82931,1.1529,2.34107,4.96107,20.3745,981.953,0.44055,85.4671
3,5,2.79698,1.12416,2.34107,4.96107,20.0326,981.953,0.44055,85.4671
4,5,2.79254,1.13904,2.34107,4.96107,20.4966,981.953,0.44055,85.4671
5,5,2.80929,1.11759,2.34107,4.96107,20.6098,981.953,0.44055,85.4671
6,5,2.80326,1.20875,2.34107,4.96107,20.3676,981.953,0.44055,85.4671
7,5,2.82366,1.12574,2.34107,4.96107,20.7787,981.953,0.44055,85.4671
8,5,2.81011,1.1039,2.34107,4.96107,20.5284,981.953,0.44055,85.4671
9,5,2.81802,1.20859,2.34107,4.96107,20.2154,981.953,0.44055,85.4671
10,5,2.82305,1.17688,2.34107,4.96107,20.2194,981.953,0.44055,85.4671
1,6,2.82449,1.00947,2.34107,4.96107,20.3917,981.953,0.44055,85.4671
2,6,2.82641,1.04134,2.34107,4.96107,19.7892,981.953,0.44055,85.4671
3,6,2.81898,0.989563,2.34107,4.96107,19.9888,981.953,0.44055,85.4671
4,6,2.81418,0.945504,2.34107,4.96107,20.1091,981.953,0.44055,85.4671
5,6,2.81711,1.04072,2.34107,4.96107,19.7983,981.953,0.44055,85.4671
6,6,2.83939,1.09561,2.34107,4.96107,20.1136,981.953,0.44055,85.4671
7,6,2.8237,1.01829,2.34107,4.96107,19.9739,981.953,0.44055,85.4671
8,6,2.82636,1.02933,2.34107,4.96107,20.017,981.953,0.44055,85.4671
9,6,2.81716,1.0591,2.34107,4.96107,20.0909,981.953,0.44055,85.4671
10,6,2.83698,1.03789,2.34107,4.96107,20.345,981.953,0.44055,85.4671
1,7,2.82339,0.771308,2.34107,4.96107,20.0011,981.953,0.44055,85.4671
2,7,2.82222,0.746937,2.34107,4.96107,19.8556,981.953,0.44055,85.4671
3,7,2.82489,0.714374,2.34107,4.96107,20.2642,981.953,0.44055,85.4671
4,7,2.82894,0.750105,2.34107,4.96107,20.2417,981.953,0.44055,85.4671
