id,importanceSampling
1,54.244435
2,56.821146
3,78.659217
4,39.195245
5,70.732357
6,77.818987
7,62.854305
8,81.668419
9,53.997805
10,66.393702
11,74.224361
12,41.138702
13,50.906871
14,37.486070
15,55.460505
16,125.090513
17,151.288882
18,142.437255
19,140.502140
20,127.024944
21,143.315866
22,130.256550
23,171.269427
24,130.843345
25,119.217935
26,139.574768
27,142.984291
28,142.601844
29,106.668551
30,138.600678
31,198.170028
32,156.284380
33,175.596058
34,175.511816
35,148.882674
36,140.958763
37,167.878417
38,164.320799
39,153.187016
40,178.402326
41,181.215833
42,195.512159
43,182.366942
44,199.169102
45,198.472186
