parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81976981990512,,0.00426286628524636,0.151177810867903
V1_pop,0.693816169519705,,0.0336393328132237,4.84845039522653
Q_pop,2.34107,,,
V2_pop,4.96106503232929,,nan,nan
S_pop,20.1432203266614,,0.106005656877274,0.526259729865364
R0_pop,981.952828304575,,0.940029500095089,0.0957306168890139
gamma_pop,0.440550472834585,,0.000392826587610311,0.0891672150713607
MTT_pop,85.4671227925336,,nan,nan
omega_Cl,0.00345430594876836,0.345431625318335,0.00191552057308785,55.4531243467544
omega_V1,0.322716538320429,33.1304133047495,0.0346479658355283,10.73634652127
omega_S,0.0102441379158258,1.02444066827043,0.00606441695119095,59.198899907646
bPK_central_drug_concentration,0.0889338224004518,,0.001351041042366,1.51915323765409
acirculating_R,41.8198296121114,,0.627482809234196,1.50044324679045
