rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.83234,0.403179,2.34046,4.91079,20.1795,981.524,0.439673,85.085
2,1,2.81942,0.401812,2.34094,4.91079,20.0845,985.819,0.437857,85.1701
3,1,2.83379,0.420842,2.33957,4.91079,19.9507,982.508,0.433128,84.9063
4,1,2.81287,0.40384,2.3192,4.91079,20.1078,982.978,0.441289,85.0188
5,1,2.80922,0.379942,2.3316,4.91079,19.955,983.639,0.438341,85.0224
6,1,2.81066,0.398326,2.32796,4.91079,20.1799,984.701,0.439391,84.9524
7,1,2.8001,0.383709,2.358,4.91079,19.9853,982.579,0.435543,85.0931
8,1,2.79738,0.398033,2.34125,4.91079,20.0909,983.463,0.437038,85.0353
9,1,2.80239,0.411276,2.30941,4.91079,20.1745,979.219,0.43651,85.1549
10,1,2.83879,0.398833,2.32973,4.91079,20.0131,984.595,0.442329,85.1117
1,2,2.81146,0.520017,2.35428,4.91079,19.7631,982.502,0.434133,85.0793
2,2,2.82018,0.499462,2.34966,4.91079,20.1032,982.253,0.429212,84.9771
3,2,2.81619,0.516345,2.34657,4.91079,20.5337,982.252,0.43253,85.0592
4,2,2.82013,0.501403,2.35282,4.91079,20.2266,982.457,0.431799,85.0941
5,2,2.82039,0.478759,2.36314,4.91079,19.8128,984.318,0.436296,85.0684
6,2,2.81574,0.529146,2.32539,4.91079,20.0446,982.398,0.435372,84.8443
7,2,2.81915,0.562061,2.35768,4.91079,20.154,980.821,0.436234,85.1832
8,2,2.82009,0.491778,2.34549,4.91079,20.0388,984.987,0.431081,85.0071
9,2,2.82688,0.529795,2.33493,4.91079,20.0408,981.624,0.4336,85.0219
10,2,2.81325,0.565569,2.34609,4.91079,20.1522,984.354,0.433569,85.0276
1,3,2.81809,0.957891,2.32005,4.91079,20.0865,984.789,0.438074,84.9787
2,3,2.82773,0.97291,2.301,4.91079,20.4541,985.14,0.430731,85.0524
3,3,2.80783,0.95738,2.34083,4.91079,19.7739,984.089,0.429672,85.0853
4,3,2.82484,0.985769,2.36006,4.91079,20.0363,984.442,0.431604,85.1
5,3,2.82145,1.04968,2.30856,4.91079,19.6762,980.054,0.436544,85.013
6,3,2.82358,0.927453,2.3403,4.91079,19.7955,981.083,0.43763,84.9562
7,3,2.82737,0.933199,2.33968,4.91079,20.4917,982.764,0.438805,85.0229
8,3,2.83754,0.965378,2.3155,4.91079,19.7819,981.603,0.435928,84.9864
9,3,2.82069,0.912491,2.32146,4.91079,20.1433,981.799,0.434335,85.0549
10,3,2.8165,0.927007,2.31689,4.91079,20.2211,981.518,0.437373,85.0105
1,4,2.81996,0.684507,2.3582,4.91079,20.0838,984.916,0.430742,84.9493
2,4,2.79673,0.716345,2.33973,4.91079,20.3438,983.115,0.434578,85.0112
3,4,2.83642,0.75346,2.35081,4.91079,19.9591,982.197,0.441001,85.0054
4,4,2.82862,0.711061,2.35671,4.91079,20.0935,984.032,0.43248,84.9426
5,4,2.8105,0.667389,2.33564,4.91079,20.2224,984.885,0.43442,84.9911
6,4,2.8053,0.689982,2.31617,4.91079,19.9356,983.901,0.433836,84.9461
7,4,2.81239,0.696702,2.34186,4.91079,20.5514,983.06,0.435506,85.1059
8,4,2.81592,0.669264,2.3456,4.91079,20.1715,980.221,0.443054,85.0433
