id,importanceSampling
1,54.295876
2,57.459219
3,78.821975
4,38.768608
5,69.919094
6,76.743650
7,62.744760
8,81.640029
9,55.012798
10,65.894294
11,74.845980
12,41.181635
13,51.511125
14,37.269620
15,54.943046
16,126.424250
17,150.971606
18,142.613342
19,140.330034
20,129.155194
21,143.343155
22,130.643558
23,171.139168
24,129.898456
25,118.548804
26,137.729979
27,143.288384
28,142.183847
29,106.158677
30,138.074215
31,196.845831
32,157.383261
33,175.095597
34,174.651807
35,149.121460
36,140.577483
37,169.569333
38,162.692308
39,152.220702
40,177.799428
41,182.578363
42,194.905177
43,182.455074
44,196.880680
45,197.499853
