parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81835325265335,,0.0122347131430262,0.434108574981073
V1_pop,0.690268827575787,,0.0339280072677341,4.91518752004038
Q_pop,2.32881180516127,,0.0147470208094293,0.633242273022919
V2_pop,4.9107930140585,,nan,nan
S_pop,20.0855826553267,,0.314467405795025,1.56563745842657
R0_pop,983.016867084904,,0.93128066966522,0.094736997995456
gamma_pop,0.435692219424749,,0.00352018805845107,0.807952931337363
MTT_pop,85.0218458195555,,0.264629030321527,0.31124827715827
omega_Cl,0.00447397462064205,0.447399700900269,0.00722717445324587,161.538119145806
omega_V1,0.323692443176362,33.2359331048991,0.0353717466048199,10.9275787403995
omega_Q,0.00622819063254762,0.622825103146823,0.00527211378751111,84.6492038949452
omega_S,0.010667795058861,1.06680985697629,0.00966583013482008,90.6075724316749
omega_R0,0.00155741722678271,0.155741817120059,0.00172972036802263,111.063389968779
omega_gamma,0.0077219655722774,0.772208068649939,0.00427109024508876,55.3109205824794
omega_MTT,0.00102651445273798,0.102651472314334,nan,nan
bPK_central_drug_concentration,0.0887628789808763,,0.00135367093830825,1.52504172222703
acirculating_R,41.6331962251372,,0.629030689349734,1.51088733602908
