rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.81534,0.392292,2.34107,4.95029,20.2632,985.204,0.433533,85.1575
2,1,2.80482,0.428721,2.34107,4.95029,20.4516,978.549,0.440442,85.1359
3,1,2.8137,0.407042,2.34107,4.95029,20.052,984.063,0.436491,84.8536
4,1,2.82005,0.391129,2.34107,4.95029,20.3287,984.438,0.435626,85.1778
5,1,2.82174,0.41757,2.34107,4.95029,20.1384,982.952,0.437646,85.1304
6,1,2.8126,0.381587,2.34107,4.95029,20.1781,980.891,0.438184,85.2306
7,1,2.8117,0.408507,2.34107,4.95029,20.1408,979.849,0.435411,85.1872
8,1,2.81985,0.407957,2.34107,4.95029,20.0757,984.126,0.433543,85.0184
9,1,2.82199,0.374153,2.34107,4.95029,20.1071,983.118,0.432495,85.2689
10,1,2.82563,0.40063,2.34107,4.95029,20.2142,982.358,0.441661,85.12
1,2,2.81438,0.551602,2.34107,4.95029,20.0779,982.129,0.433128,85.0515
2,2,2.80964,0.507179,2.34107,4.95029,20.0614,984.497,0.432287,85.2981
3,2,2.80324,0.53178,2.34107,4.95029,20.067,983.112,0.436875,85.2483
4,2,2.81595,0.550428,2.34107,4.95029,20.2663,986.456,0.442635,85.058
5,2,2.83202,0.478222,2.34107,4.95029,20.0312,980.749,0.436792,85.0616
6,2,2.82348,0.540226,2.34107,4.95029,19.8966,979.67,0.433635,85.2253
7,2,2.81939,0.542691,2.34107,4.95029,20.1087,982.504,0.438711,85.2834
8,2,2.81352,0.528509,2.34107,4.95029,20.1037,982.754,0.436736,85.2979
9,2,2.81898,0.530892,2.34107,4.95029,20.0022,987.351,0.435665,85.3354
10,2,2.82148,0.534134,2.34107,4.95029,20.17,980.297,0.43272,85.1072
1,3,2.81774,0.962289,2.34107,4.95029,19.8959,982.013,0.438199,85.3222
2,3,2.81662,0.927646,2.34107,4.95029,20.155,983.134,0.4394,85.1359
3,3,2.82351,0.941347,2.34107,4.95029,20.1643,976.838,0.43407,85.1973
4,3,2.80427,0.947702,2.34107,4.95029,20.0096,978.469,0.437976,85.242
5,3,2.81407,0.897004,2.34107,4.95029,19.9916,981.5,0.434318,85.3511
6,3,2.81636,0.92929,2.34107,4.95029,20.1286,981.934,0.439418,85.1032
7,3,2.81834,0.970352,2.34107,4.95029,19.8571,982.868,0.432767,84.9513
8,3,2.83149,0.913781,2.34107,4.95029,19.946,978.829,0.433738,85.2561
9,3,2.81453,0.974836,2.34107,4.95029,19.9511,980.446,0.435777,85.4459
10,3,2.80947,0.9683,2.34107,4.95029,20.1438,985.556,0.437572,85.378
1,4,2.8099,0.718907,2.34107,4.95029,20.1315,983.651,0.442298,85.0523
2,4,2.8086,0.674987,2.34107,4.95029,19.793,982.812,0.434011,85.0585
3,4,2.80279,0.694925,2.34107,4.95029,20.2688,983.765,0.433747,85.1478
4,4,2.81931,0.700144,2.34107,4.95029,20.0421,986.808,0.440677,85.0936
5,4,2.82631,0.689076,2.34107,4.95029,20.1737,985.287,0.43661,85.2793
6,4,2.83315,0.678981,2.34107,4.95029,20.0664,987.222,0.442736,85.1444
7,4,2.8038,0.681068,2.34107,4.95029,20.1924,983.857,0.43303,85.169
8,4,2.81468,0.744113,2.34107,4.95029,20.2721,988.549,0.438034,85.3003
9,4,2.81911,0.71992,2.34107,4.95029,20.1296,986.555,0.438128,85.2119
10,4,2.80499,0.707266,2.34107,4.95029,19.9751,982.236,0.439761,85.2378
1,5,2.81059,1.13596,2.34107,4.95029,20.1396,986.121,0.439937,85.2686
2,5,2.8065,1.15422,2.34107,4.95029,20.1152,982.101,0.437657,85.3439
3,5,2.81872,1.16261,2.34107,4.95029,20.196,984.706,0.440417,85.0317
4,5,2.81124,1.15175,2.34107,4.95029,20.2139,982.21,0.438483,85.3465
5,5,2.82061,1.15066,2.34107,4.95029,19.9958,984.4,0.436229,85.216
6,5,2.81844,1.15735,2.34107,4.95029,20.0699,984.692,0.436816,85.2284
7,5,2.81985,1.21109,2.34107,4.95029,19.8929,990.531,0.440676,85.1974
8,5,2.82087,1.11909,2.34107,4.95029,20.2737,984.4,0.435265,85.1723
9,5,2.80743,1.16375,2.34107,4.95029,20.2331,983.647,0.442939,85.2241
10,5,2.81912,1.15136,2.34107,4.95029,20.3872,981.812,0.436312,85.3183
1,6,2.81219,1.06702,2.34107,4.95029,20.2163,979.588,0.431316,84.9221
2,6,2.81277,1.03453,2.34107,4.95029,20.0348,981.274,0.440421,85.2642
3,6,2.82112,1.04043,2.34107,4.95029,20.0516,983.802,0.434351,85.0112
4,6,2.81453,1.01673,2.34107,4.95029,19.9426,983.165,0.438008,85.2442
5,6,2.81796,1.07015,2.34107,4.95029,20.1222,982.744,0.441505,85.2104
6,6,2.81447,0.984607,2.34107,4.95029,20.101,984.49,0.431888,85.1634
7,6,2.82338,1.03011,2.34107,4.95029,20.0423,982.805,0.436698,85.1573
8,6,2.82962,1.09604,2.34107,4.95029,20.0319,983.001,0.440989,85.153
9,6,2.82383,1.07144,2.34107,4.95029,20.0554,983.536,0.43728,85.2143
10,6,2.82685,1.04097,2.34107,4.95029,20.0733,985.179,0.434742,85.2683
1,7,2.82109,0.72199,2.34107,4.95029,20.2683,981.366,0.438314,85.3526
2,7,2.82025,0.725351,2.34107,4.95029,20.0868,980.401,0.436837,85.1223
3,7,2.81885,0.722944,2.34107,4.95029,20.0208,982.702,0.434985,85.2143
4,7,2.82515,0.759077,2.34107,4.95029,20.2374,984.405,0.441515,85.2493
5,7,2.8169,0.710149,2.34107,4.95029,20.1098,986.07,0.44065,85.3595
6,7,2.8107,0.721561,2.34107,4.95029,20.2852,982.147,0.436916,85.1719
7,7,2.80932,0.743605,2.34107,4.95029,19.9707,980.339,0.440971,85.2373
8,7,2.80729,0.752586,2.34107,4.95029,20.2293,982.453,0.438302,84.9587
9,7,2.81799,0.716303,2.34107,4.95029,20.2644,982.494,0.434709,85.1511
10,7,2.83906,0.715953,2.34107,4.95029,20.1321,980.692,0.428716,85.0643
1,8,2.82712,1.02094,2.34107,4.95029,19.9245,981.296,0.440369,85.1206
2,8,2.82623,1.00806,2.34107,4.95029,19.864,986.256,0.432327,85.2075
3,8,2.81322,1.04093,2.34107,4.95029,20.1524,982.478,0.433876,85.2289
4,8,2.82885,1.02165,2.34107,4.95029,20.2468,978.443,0.433698,85.35
5,8,2.81836,1.05165,2.34107,4.95029,19.9711,982.186,0.438002,85.3139
6,8,2.81863,0.995554,2.34107,4.95029,19.8224,981.606,0.43899,85.2873
7,8,2.81684,0.971298,2.34107,4.95029,19.8942,982.251,0.43449,85.2319
8,8,2.82521,0.998266,2.34107,4.95029,20.0413,982.157,0.435678,85.0631
9,8,2.8192,1.02865,2.34107,4.95029,20.2953,985.605,0.435871,85.2357
10,8,2.81459,1.03181,2.34107,4.95029,19.9478,981.985,0.4389,85.2217
1,9,2.81265,0.862454,2.34107,4.95029,20.4539,984.397,0.43966,85.0879
2,9,2.82211,0.954497,2.34107,4.95029,20.1612,985.227,0.432359,84.9477
3,9,2.81312,0.87346,2.34107,4.95029,20.1355,981.178,0.435967,85.2745
4,9,2.82699,0.884149,2.34107,4.95029,19.9,980.914,0.438222,84.9723
5,9,2.81606,0.888026,2.34107,4.95029,20.2357,984.259,0.440116,85.0562
6,9,2.83447,0.830604,2.34107,4.95029,20.0669,980.451,0.439405,85.2061
7,9,2.81841,0.87421,2.34107,4.95029,19.9147,985.317,0.437083,85.232
8,9,2.80948,0.881612,2.34107,4.95029,20.0421,979.016,0.436288,85.3348
9,9,2.81431,0.853124,2.34107,4.95029,20.0351,982.988,0.432703,85.0988
10,9,2.83225,0.819456,2.34107,4.95029,20.0276,979.315,0.43827,85.3065
1,10,2.81056,0.924482,2.34107,4.95029,20.0874,983.384,0.439451,85.2577
2,10,2.82197,0.90249,2.34107,4.95029,20.1124,982.881,0.435303,85.2285
3,10,2.82816,0.959548,2.34107,4.95029,19.9955,986.215,0.436889,85.2539
4,10,2.82374,0.905509,2.34107,4.95029,20.1344,985.346,0.435599,85.1905
5,10,2.82994,0.951176,2.34107,4.95029,20.1531,983.704,0.438054,85.1717
6,10,2.82198,0.92658,2.34107,4.95029,19.9374,983.528,0.438537,85.3378
7,10,2.81064,0.908836,2.34107,4.95029,20.1897,981.767,0.432536,85.0733
8,10,2.82114,0.924035,2.34107,4.95029,19.9549,985.426,0.434377,85.0781
9,10,2.80766,0.870186,2.34107,4.95029,20.1391,984.989,0.439217,85.0889
10,10,2.8091,0.880628,2.34107,4.95029,20.2425,981.255,0.435538,85.2423
1,11,2.82251,1.30557,2.34107,4.95029,20.1475,982.772,0.439452,85.0309
2,11,2.8105,1.25773,2.34107,4.95029,20.1171,980.126,0.438279,85.114
3,11,2.80204,1.27191,2.34107,4.95029,20.0322,980.925,0.438428,85.1736
4,11,2.81889,1.36006,2.34107,4.95029,19.9364,983.25,0.443934,85.2622
