id,importanceSampling
1,54.270725
2,57.210979
3,78.940424
4,38.854930
5,70.530645
6,77.062113
7,63.185820
8,81.759661
9,54.784599
10,65.756043
11,74.452331
12,41.042989
13,51.225708
14,37.169326
15,54.882164
16,125.907435
17,151.127106
18,142.435407
19,140.440593
20,127.796398
21,143.139283
22,130.134882
23,170.928618
24,130.107339
25,119.214118
26,138.225547
27,143.034352
28,143.437184
29,106.031635
30,138.068522
31,196.915615
32,156.751410
33,174.769666
34,175.501257
35,149.012333
36,139.833861
37,168.408312
38,162.835635
39,153.334463
40,178.205891
41,182.123647
42,195.007249
43,182.210995
44,197.036404
45,197.705073
