parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81901807666712,,0.0341172773122362,1.21025393893793
V1_pop,0.692836572176437,,0.0351645800960044,5.07545090836363
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,20.0764235570401,,1.09825011831107,5.47034742114689
R0_pop,982.739255087458,,2.46591298095362,0.25092240573357
gamma_pop,0.437651025805219,,nan,nan
MTT_pop,85.1774272725108,,0.483514703932111,0.567655914735705
omega_Cl,0.00291308919539192,0.291309537557479,0.02061743458405,707.751572339896
omega_V1,0.322652546112845,33.123495874456,0.0357021458806375,11.0651988681816
omega_S,0.00688045986601836,0.688054129831466,0.0241908181286815,351.587228175789
omega_R0,0.00249588667946277,0.24958905664798,0.00180614153870507,72.3647252724565
omega_gamma,0.00647407885137761,0.64741466901188,nan,nan
omega_MTT,0.0012563942040832,0.125639469989818,0.00203311630001794,161.82152810085
bPK_central_drug_concentration,0.0888554982655048,,0.00135669090029167,1.52685081595942
acirculating_R,41.6367172049754,,0.632287160595529,1.51858072163281
