rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.81215,0.665123,2.34107,5.53175,20.1162,981.92,0.437315,84.8028
2,1,2.87051,0.665123,2.34107,5.28697,19.9371,983.177,0.435498,85.2242
3,1,2.8153,0.665123,2.34107,5.82578,20.452,981.521,0.439305,85.2625
4,1,2.81005,0.665123,2.34107,5.72463,20.4831,980.84,0.438398,85.2559
5,1,2.79798,0.665123,2.34107,5.27563,20.1643,982.345,0.435683,85.2165
6,1,2.84687,0.665123,2.34107,5.47429,20.7247,983.636,0.43402,84.9648
7,1,2.86513,0.665123,2.34107,5.05151,20.9436,982.477,0.434367,85.2238
8,1,2.87288,0.665123,2.34107,5.12823,20.889,983.687,0.439228,85.0758
9,1,2.77457,0.665123,2.34107,5.51851,19.6739,978.248,0.437747,85.0394
10,1,2.8075,0.665123,2.34107,5.64432,20.4891,981.988,0.437507,85.4209
1,2,2.80072,0.665123,2.34107,5.09049,20.0661,982.571,0.437735,85.1793
2,2,2.84174,0.665123,2.34107,5.49134,20.7204,984.189,0.439899,85.0802
3,2,2.84592,0.665123,2.34107,5.43021,20.3276,982.007,0.438938,85.1498
4,2,2.85159,0.665123,2.34107,5.15369,19.8074,979.871,0.437102,85.2929
5,2,2.85045,0.665123,2.34107,5.39439,20.2177,984.325,0.434151,85.5197
6,2,2.78219,0.665123,2.34107,5.45124,20.0205,980.904,0.43933,85.4934
7,2,2.81716,0.665123,2.34107,5.10828,20.113,986.31,0.43617,85.6375
8,2,2.82418,0.665123,2.34107,5.42439,19.8618,979.767,0.437283,85.1744
9,2,2.87294,0.665123,2.34107,4.84731,21.0889,979.02,0.438158,85.3133
10,2,2.85708,0.665123,2.34107,5.23307,19.8882,981.274,0.435094,84.8245
1,3,2.79393,0.665123,2.34107,4.42461,19.825,977.57,0.43547,85.0679
2,3,2.73155,0.665123,2.34107,4.29453,20.0054,980.442,0.438656,84.9963
3,3,2.78641,0.665123,2.34107,4.04982,20.0407,981.88,0.433342,85.121
4,3,2.8095,0.665123,2.34107,4.44774,19.9178,978.124,0.437679,85.1171
5,3,2.80237,0.665123,2.34107,4.34892,19.2665,982.315,0.434935,85.0398
6,3,2.8037,0.665123,2.34107,4.31703,19.741,980.793,0.436487,85.1808
7,3,2.74544,0.665123,2.34107,4.91128,20.1894,980.97,0.434356,85.4218
8,3,2.72123,0.665123,2.34107,4.5298,20.1711,979.883,0.436464,85.2461
9,3,2.77805,0.665123,2.34107,4.17232,19.451,980.171,0.440441,85.0999
10,3,2.79579,0.665123,2.34107,4.20805,20.0624,980.807,0.436011,85.3893
1,4,2.78176,0.665123,2.34107,4.91135,20.0482,978.832,0.438103,85.134
2,4,2.76499,0.665123,2.34107,5.13295,19.8442,985.955,0.439451,85.2358
3,4,2.7965,0.665123,2.34107,5.013,19.805,983.985,0.440826,85.3893
4,4,2.90991,0.665123,2.34107,4.46916,20.2152,983.133,0.440327,85.2219
5,4,2.79296,0.665123,2.34107,4.79966,20.2579,983.743,0.43693,85.2246
6,4,2.78634,0.665123,2.34107,5.18306,20.225,985.485,0.437171,85.503
7,4,2.80197,0.665123,2.34107,4.9051,20.1489,985.628,0.440744,85.2868
8,4,2.80833,0.665123,2.34107,5.30073,19.9409,983.482,0.44022,85.3571
9,4,2.76837,0.665123,2.34107,5.57275,20.0296,980.046,0.437205,85.3103
10,4,2.80973,0.665123,2.34107,4.8382,20.1106,983.674,0.43704,85.2247
1,5,2.75408,0.665123,2.34107,3.546,20.0306,983.994,0.439592,84.9835
2,5,2.74604,0.665123,2.34107,3.60939,20.7377,983.493,0.436548,85.6229
3,5,2.76323,0.665123,2.34107,3.55405,20.032,983.852,0.43748,85.2733
4,5,2.70824,0.665123,2.34107,3.53866,20.0625,984.835,0.43492,85.0552
5,5,2.74066,0.665123,2.34107,3.6311,19.8937,988.101,0.437016,85.0861
6,5,2.77783,0.665123,2.34107,3.43078,20.59,984.375,0.434136,85.1341
7,5,2.75083,0.665123,2.34107,3.35302,20.1513,984.767,0.436037,85.1777
8,5,2.74887,0.665123,2.34107,3.43215,21.1366,980.372,0.436502,85.2685
9,5,2.72893,0.665123,2.34107,3.67122,20.2792,986.306,0.442666,85.3459
10,5,2.73875,0.665123,2.34107,3.49021,20.2362,982.137,0.437667,85.5503
1,6,2.7508,0.665123,2.34107,4.12016,19.7426,984.855,0.435313,84.9995
2,6,2.76148,0.665123,2.34107,3.94791,19.7546,982.964,0.438633,85.418
3,6,2.75093,0.665123,2.34107,4.13099,19.3727,982.133,0.436371,85.2461
4,6,2.79059,0.665123,2.34107,3.98904,19.6175,983.318,0.4349,85.1098
5,6,2.76561,0.665123,2.34107,3.95543,19.7151,982.57,0.437029,84.8776
6,6,2.79062,0.665123,2.34107,4.07904,19.6141,983.192,0.438096,84.9509
7,6,2.81343,0.665123,2.34107,3.99035,20.1268,981.999,0.437009,85.185
8,6,2.8066,0.665123,2.34107,3.8606,20.589,982.673,0.436685,85.2543
9,6,2.75267,0.665123,2.34107,4.16309,19.896,983.861,0.439673,85.113
10,6,2.82107,0.665123,2.34107,4.06643,19.4167,977.949,0.437959,85.3174
1,7,2.81652,0.665123,2.34107,4.98833,19.8839,982.442,0.43687,85.1765
2,7,2.84756,0.665123,2.34107,4.77242,20.1684,982.812,0.437851,85.1592
3,7,2.8659,0.665123,2.34107,4.56246,20.0124,984.074,0.43899,85.6687
4,7,2.77918,0.665123,2.34107,5.00143,20.2575,981.964,0.437313,85.1602
5,7,2.85477,0.665123,2.34107,4.85393,19.5789,979.612,0.44006,85.3756
6,7,2.79974,0.665123,2.34107,4.8138,20.4262,982.975,0.437476,85.1134
7,7,2.80675,0.665123,2.34107,5.13515,20.3645,980.679,0.434854,85.2742
8,7,2.87767,0.665123,2.34107,4.63589,20.2485,980.385,0.434086,85.1597
9,7,2.83244,0.665123,2.34107,4.93936,19.8346,985.862,0.433608,85.0851
10,7,2.79487,0.665123,2.34107,5.04767,19.5757,981.443,0.437409,85.2392
1,8,2.8001,0.665123,2.34107,4.01049,19.9054,981.163,0.435213,85.1171
2,8,2.80368,0.665123,2.34107,3.87905,20.1804,978.338,0.434345,85.3907
3,8,2.78126,0.665123,2.34107,4.07031,19.5167,982.695,0.437993,85.4759
4,8,2.77599,0.665123,2.34107,4.40853,19.5986,980.576,0.436397,85.4282
5,8,2.78876,0.665123,2.34107,3.76982,19.4227,984.324,0.435727,85.5134
6,8,2.83686,0.665123,2.34107,3.73447,19.8094,983.21,0.43744,85.1247
7,8,2.7993,0.665123,2.34107,3.77285,20.1135,983.839,0.439407,85.8354
8,8,2.79635,0.665123,2.34107,3.83962,20.0498,983.154,0.435833,85.3116
9,8,2.79448,0.665123,2.34107,3.84078,20.2807,984.058,0.435802,85.3638
10,8,2.82123,0.665123,2.34107,3.63871,19.7135,983.539,0.440761,85.0707
1,9,2.7782,0.665123,2.34107,4.4391,20.173,983.178,0.440169,85.4335
2,9,2.8447,0.665123,2.34107,4.13001,19.9392,981.43,0.437456,85.1504
3,9,2.80409,0.665123,2.34107,4.40998,20.3683,983.577,0.440458,85.0506
4,9,2.81397,0.665123,2.34107,4.27007,19.8472,982.359,0.43258,84.9878
5,9,2.82174,0.665123,2.34107,3.99116,19.9134,984.723,0.435921,85.1889
6,9,2.79341,0.665123,2.34107,4.33281,20.223,980.942,0.436117,85.5453
7,9,2.78012,0.665123,2.34107,4.21095,19.9889,981.796,0.433256,85.4521
8,9,2.80002,0.665123,2.34107,4.04238,19.8651,983.05,0.438657,85.408
9,9,2.74594,0.665123,2.34107,4.29286,19.3022,982.05,0.437868,85.1821
10,9,2.79757,0.665123,2.34107,4.11802,19.8598,980.925,0.43541,85.3898
1,10,2.7946,0.665123,2.34107,4.43392,19.7016,986.549,0.439304,85.1097
2,10,2.79458,0.665123,2.34107,4.13665,19.7264,983.22,0.435511,85.1937
3,10,2.79577,0.665123,2.34107,4.1435,20.1387,982.535,0.439614,85.0882
4,10,2.76575,0.665123,2.34107,4.12102,19.5857,981.78,0.435229,85.5138
5,10,2.77511,0.665123,2.34107,4.56546,19.4312,982.167,0.437617,85.3209
6,10,2.80761,0.665123,2.34107,4.21572,19.5435,980.86,0.436115,85.0847
7,10,2.78725,0.665123,2.34107,3.80969,20.0062,984.039,0.437779,85.2289
8,10,2.74735,0.665123,2.34107,4.29336,20.0184,979.844,0.436796,85.3443
9,10,2.75899,0.665123,2.34107,4.27018,19.6921,983.96,0.440959,84.8653
10,10,2.82716,0.665123,2.34107,3.78264,20.2098,983.917,0.438026,84.9937
1,11,2.68283,0.665123,2.34107,3.51725,20.0782,980.621,0.439554,85.261
2,11,2.7258,0.665123,2.34107,3.7515,20.144,977.945,0.440358,85.0199
3,11,2.69804,0.665123,2.34107,3.35769,20.0276,984.332,0.437787,85.0348
4,11,2.74131,0.665123,2.34107,3.43756,20.2755,982.18,0.437983,85.1775
5,11,2.70188,0.665123,2.34107,3.51859,19.5996,985.641,0.441673,85.4344
6,11,2.70013,0.665123,2.34107,3.63403,20.3167,984.822,0.437553,85.0328
7,11,2.71232,0.665123,2.34107,3.75752,20.1221,981.486,0.439902,85.4385
8,11,2.70258,0.665123,2.34107,3.65802,20.2348,982.042,0.440253,84.957
9,11,2.70635,0.665123,2.34107,3.62074,19.9704,982.08,0.440489,85.4032
10,11,2.73776,0.665123,2.34107,3.64732,19.3058,985.815,0.439081,85.1574
