id,importanceSampling
1,133.395880
2,83.652519
3,132.489847
4,56.017174
5,147.596173
6,135.485572
7,84.579861
8,129.940514
9,97.103498
10,100.509571
11,186.595942
12,62.439495
13,66.151275
14,54.282650
15,62.932959
16,142.069664
17,177.682755
18,149.892403
19,186.743095
20,157.937737
21,152.292262
22,160.539060
23,281.252112
24,146.831030
25,128.969262
26,156.188317
27,148.849748
28,204.590799
29,119.700991
30,220.136756
31,222.849446
32,256.309037
33,195.405919
34,222.866927
35,189.705402
36,206.081963
37,187.680558
38,194.051287
39,164.035148
40,265.716227
41,194.592476
42,203.004700
43,199.509091
44,201.842473
45,236.693622
