parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81316866593057,,0.0120147421326225,0.42708929180569
V1_pop,0.665122825866857,,nan,nan
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,19.9996722498937,,0.401663954574688,2.00835268476374
R0_pop,982.348463989031,,1.06810339684859,0.108729583849639
gamma_pop,0.437780665041563,,0.00589683336941533,1.34698351030544
MTT_pop,85.193607316916,,0.333045964956443,0.390928351839273
omega_Cl,0.0148425600979553,1.48433775953718,0.00319868291835912,21.5507493131173
omega_V2,0.14635674785666,14.7144007934829,0.0172419339062516,11.7807577434955
omega_S,0.0181048004570925,1.81062841734838,0.0139972252856868,77.3122317412976
omega_R0,0.0020825531222031,0.20825553802014,0.00313819466084216,150.689777244304
omega_gamma,0.00476799254607038,0.476801964478066,0.00632283543196106,132.610010835108
omega_MTT,0.00217966384465845,0.217966643353219,0.00342097322682459,156.949578954944
bPK_central_drug_concentration,0.128804472400292,,0.00199039337782061,1.54528281567349
acirculating_R,41.6507704630639,,0.630411411619489,1.51356482631826
