id,importanceSampling
1,54.278996
2,57.131098
3,78.749823
4,38.974421
5,70.053331
6,76.576968
7,63.146443
8,81.747592
9,55.325445
10,65.729743
11,74.665649
12,41.322951
13,51.362438
14,37.212490
15,54.793440
16,126.742051
17,151.001813
18,142.533377
19,140.237622
20,127.771093
21,143.474031
22,130.709359
23,171.013340
24,130.124005
25,119.031546
26,138.023474
27,142.986475
28,142.451799
29,106.007964
30,139.071976
31,196.615286
32,157.405985
33,174.740297
34,174.987239
35,149.377000
36,140.392370
37,169.577910
38,162.409966
39,153.344553
40,178.081081
41,182.294788
42,194.833814
43,182.707144
44,196.398041
45,197.696975
