parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81863253064012,,0.00684342490742717,0.242792376552647
V1_pop,0.692058434100531,,0.0334221310023416,4.82937991295205
Q_pop,2.34107,,,
V2_pop,4.95098284422956,,0.036993117218489,0.747187344056444
S_pop,20.0800564175606,,0.175277959811365,0.872895753709534
R0_pop,982.818012710637,,1.49631181232644,0.152247088776851
gamma_pop,0.435382599641524,,0.00532276070560296,1.2225478716847
MTT_pop,85.007657256899,,0.348989149687769,0.410538486707262
omega_Cl,0.00366262945598157,0.366264173943595,0.00253943616796813,69.3336904125227
omega_V1,0.321218430467224,32.9685266114888,0.0342421107376316,10.66007037262
omega_V2,0.0131701845847256,1.31707557098808,0.00900815175353657,68.3980675865695
omega_S,0.0126237566736234,1.26242596183644,0.00621060252377868,49.1977363343463
omega_R0,0.00153632051673011,0.153632142324561,0.00280900445331864,182.839740973928
omega_gamma,0.00804036974137949,0.804049969066834,0.00859689729335304,106.921666165542
omega_MTT,0.00205825769686806,0.205825987675821,0.0013452715683459,65.3597248970779
bPK_central_drug_concentration,0.0888128519073893,,0.00136466250314665,1.53655971386852
acirculating_R,41.627929495141,,0.642348195687929,1.54307024989775
