rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82384,0.417582,2.34125,4.95029,19.8103,983.738,0.436513,84.9188
2,1,2.82009,0.402907,2.33742,4.95029,20.2304,986.02,0.4348,84.9889
3,1,2.80604,0.38729,2.36179,4.95029,19.9786,983.385,0.434353,84.9167
4,1,2.79859,0.39704,2.36637,4.95029,20.2135,984.55,0.434805,84.8517
5,1,2.80138,0.411102,2.32882,4.95029,19.8929,980.49,0.433351,85.0301
6,1,2.83041,0.387486,2.3223,4.95029,20.0816,984.705,0.437418,84.9829
7,1,2.80899,0.391911,2.333,4.95029,20.0519,986.162,0.433959,84.8012
8,1,2.81442,0.390547,2.32842,4.95029,20.2229,984.504,0.435056,84.9786
9,1,2.80951,0.40323,2.34225,4.95029,20.1868,981.442,0.434054,84.9439
10,1,2.79975,0.401208,2.35541,4.95029,20.0084,981.47,0.431267,84.9437
1,2,2.82073,0.492932,2.37834,4.95029,20.046,985.283,0.431725,84.9626
2,2,2.81228,0.502042,2.35169,4.95029,19.8455,983.372,0.428434,84.7842
3,2,2.81987,0.562782,2.3664,4.95029,19.9224,981.215,0.434341,85.0232
4,2,2.81636,0.511983,2.33826,4.95029,19.783,983.286,0.428323,84.8844
5,2,2.81318,0.526085,2.34161,4.95029,20.205,982.727,0.432793,85.0274
6,2,2.8223,0.563871,2.33842,4.95029,20.0133,984.137,0.432812,84.9785
7,2,2.82175,0.534076,2.35726,4.95029,19.9279,985.191,0.432457,85.021
8,2,2.82201,0.528357,2.32906,4.95029,19.9623,982.034,0.429743,84.8912
9,2,2.81387,0.531449,2.32616,4.95029,20.1622,987.601,0.437769,84.9912
10,2,2.81066,0.532054,2.31688,4.95029,19.9179,980.593,0.436062,84.975
1,3,2.81896,1.0298,2.33426,4.95029,19.6717,981.683,0.437201,84.9233
2,3,2.8228,0.922276,2.33026,4.95029,20.0461,980.787,0.436131,84.9305
3,3,2.821,0.917262,2.34552,4.95029,20.2391,981.94,0.437499,84.9174
4,3,2.83125,0.96248,2.32351,4.95029,19.8485,981.582,0.434296,84.8829
