id,importanceSampling
1,53.874436
2,57.074605
3,78.637340
4,38.728432
5,70.558766
6,76.602755
7,63.002667
8,82.065669
9,55.403199
10,65.689898
11,74.753041
12,41.107184
13,51.329417
14,37.002005
15,54.739596
16,126.831866
17,151.112445
18,142.255880
19,140.818765
20,128.254128
21,143.255953
22,130.614099
23,171.195791
24,130.045323
25,118.984506
26,137.301135
27,142.841431
28,142.782528
29,106.246984
30,139.099504
31,196.245892
32,157.072470
33,174.764392
34,174.812525
35,149.073233
36,140.650265
37,169.589913
38,162.284980
39,153.123670
40,177.880548
41,182.536010
42,194.578374
43,182.415500
44,196.244585
45,197.780343
