parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81652272208855,,0.00551890149434003,0.195947344967541
V1_pop,0.691028376979127,,0.0334121462735408,4.83513374944225
Q_pop,2.33837901779581,,0.0109046694174942,0.466334556310429
V2_pop,4.95029,,,
S_pop,20.0985946072849,,0.180431570326238,0.897732273583145
R0_pop,983.186503717461,,1.170856733503,0.119087958294378
gamma_pop,0.434124235907232,,0.0019695298943194,0.453678862273947
MTT_pop,84.920067084079,,0.0975508932297287,0.114873782580911
omega_Cl,0.00301372564362327,0.301373248672115,0.00235022743024082,77.9841202603714
omega_V1,0.321361434011851,32.9839746612152,0.0342349385272173,10.6530948968677
omega_Q,0.00694208508468997,0.694216872471146,nan,nan
omega_S,0.00830323735183985,0.830338046797081,0.00529806751765109,63.807251234088
omega_R0,0.00172778592564318,0.172778721511476,nan,nan
omega_gamma,0.00785475671258965,0.785487786827941,0.0050494621781305,64.2854051741309
omega_MTT,0.00117424266005894,0.117424306478763,0.000533408896510396,45.4257807737645
bPK_central_drug_concentration,0.0887525201968017,,0.00135208990100733,1.52343831815613
acirculating_R,41.6462359205814,,0.62839407981737,1.50888565539442
