rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.81029,0.413572,2.32265,4.92587,19.7889,984.737,0.43744,85.3131
2,1,2.82816,0.399198,2.36342,4.8566,20.2683,979.572,0.435402,84.8312
3,1,2.82465,0.385085,2.33926,4.92591,19.842,983.848,0.436382,84.8796
4,1,2.82239,0.391996,2.33523,5.00344,20.2144,984.353,0.433755,84.9167
5,1,2.81792,0.374335,2.34286,4.98175,20.0109,981.276,0.437031,84.9069
6,1,2.80657,0.370001,2.32137,4.91691,20.0996,983.851,0.434326,85.0028
7,1,2.82006,0.394924,2.34378,4.96324,20.0788,984.352,0.43348,84.6554
8,1,2.82294,0.395974,2.32953,4.91499,20.0307,981.589,0.433135,84.9747
9,1,2.8027,0.390442,2.32249,4.97876,20.0504,983.196,0.437911,85.0633
10,1,2.81006,0.40029,2.35943,5.02945,19.866,984.304,0.435901,84.9394
1,2,2.83769,0.530096,2.34521,4.99532,20.1311,983.958,0.433378,85.215
2,2,2.81911,0.520844,2.34928,4.89944,19.9221,986.485,0.435525,84.998
3,2,2.8143,0.501892,2.35407,4.95484,20.4441,982.916,0.433458,85.294
4,2,2.83489,0.493206,2.35531,4.89431,20.002,983.923,0.437097,84.8401
5,2,2.8245,0.52577,2.33069,4.90725,20.3363,983.069,0.435703,85.1994
6,2,2.82212,0.535012,2.33764,4.96446,19.9514,981.009,0.434178,84.9394
7,2,2.82061,0.545299,2.3736,5.05022,20.1851,984.43,0.433972,84.9066
8,2,2.81819,0.548761,2.33251,5.00381,19.9627,982.864,0.436068,84.9553
9,2,2.83367,0.504448,2.35598,5.03362,20.3169,986.552,0.434484,85.0492
10,2,2.82043,0.48303,2.35884,4.92094,19.6383,984.58,0.4272,85.1852
1,3,2.83375,0.97778,2.32745,4.92169,20.0454,982.299,0.436004,85.24
2,3,2.82276,0.982439,2.32418,4.91181,20.2889,987.639,0.436447,85.1846
3,3,2.82277,0.889161,2.32568,4.96121,19.8711,985.738,0.432208,84.7783
4,3,2.8091,0.93526,2.3511,4.91428,19.9635,985.399,0.433783,84.8635
5,3,2.81377,0.951066,2.3405,4.98149,20.0752,981.682,0.432182,84.9738
6,3,2.81305,0.994302,2.33229,4.95458,19.5757,981.757,0.436971,85.0277
7,3,2.81735,0.944162,2.33175,4.93861,19.9491,980.937,0.432462,84.9743
8,3,2.83116,0.927312,2.35035,4.86735,19.9581,981.756,0.432088,85.1343
9,3,2.81717,0.966821,2.36076,4.92589,19.9055,980.363,0.432621,84.7854
10,3,2.8209,0.907534,2.33807,4.965,19.9454,981.698,0.437898,85.2677
1,4,2.82478,0.742457,2.34286,4.92947,19.888,984.425,0.428531,84.9594
2,4,2.8078,0.71588,2.34115,5.07548,20.404,984.44,0.435934,85.031
3,4,2.81677,0.697549,2.36694,4.8998,20.1466,986.35,0.435293,84.9432
4,4,2.82173,0.729842,2.37066,4.94001,19.9096,986.177,0.431232,84.9836
5,4,2.81073,0.721691,2.31881,4.9977,20.1894,982.748,0.433686,85.0867
6,4,2.82487,0.667926,2.35679,4.86986,20.2221,984.604,0.435936,84.9456
7,4,2.8102,0.713144,2.31986,4.97799,20.143,986.191,0.438077,85.1431
8,4,2.81428,0.684009,2.34071,4.93846,20.2682,982.515,0.432035,84.8528
9,4,2.80892,0.733103,2.3251,4.94114,20.4147,981.336,0.434494,84.9517
10,4,2.81241,0.664281,2.32658,4.93239,20.0092,986.911,0.435741,84.9288
1,5,2.82892,1.20947,2.339,4.85698,20.1316,984.862,0.436684,84.9314
2,5,2.81288,1.1285,2.32847,4.94847,20.2653,985.648,0.439271,84.9943
3,5,2.82611,1.09903,2.31447,4.96716,19.8315,987.907,0.438122,85.1006
4,5,2.81476,1.12457,2.35123,5.0187,20.0725,982.288,0.438025,85.0768
5,5,2.83467,1.14609,2.34568,4.86929,19.9355,980.225,0.438728,85.0582
6,5,2.8252,1.17289,2.32259,4.97482,19.9622,982.703,0.434405,85.1475
7,5,2.8209,1.18868,2.31259,4.83037,20.461,982.086,0.43251,85.014
8,5,2.8225,1.1162,2.34459,4.95472,20.5004,987.201,0.432134,85.1351
9,5,2.82775,1.17044,2.37502,5.02283,20.472,982.504,0.436883,85.2415
10,5,2.81034,1.13152,2.35728,4.92529,20.0548,984.988,0.433326,85.1365
1,6,2.82213,1.02212,2.35794,4.94369,20.2668,984.053,0.43368,84.937
2,6,2.81291,1.02479,2.34885,4.84496,20.2088,984.71,0.435979,84.7347
3,6,2.82042,1.02255,2.32758,4.97043,20.1813,980.554,0.436063,85.1105
4,6,2.82078,1.00406,2.38652,4.96357,19.4479,983.905,0.433087,85.1578
5,6,2.81559,1.07443,2.33375,4.95054,19.9076,981.698,0.440227,85.0207
6,6,2.81407,1.07022,2.34478,4.95024,20.0554,983.428,0.436902,84.8492
7,6,2.82495,0.954316,2.34356,4.92413,19.7063,981.769,0.438847,85.1319
8,6,2.81859,1.01436,2.3369,4.99293,19.5214,982.068,0.43501,85.1281
9,6,2.81241,0.986448,2.3332,5.01624,19.7486,985.021,0.4329,85.0523
10,6,2.8148,1.05192,2.37619,4.92684,19.7513,980.187,0.43497,84.9363
1,7,2.82976,0.756153,2.3396,4.97694,20.4017,984.701,0.436355,85.026
2,7,2.81441,0.734596,2.3171,4.95924,20.4093,981.741,0.43759,85.131
3,7,2.83766,0.761447,2.31806,5.00117,19.901,984.124,0.430274,84.8145
4,7,2.82251,0.717123,2.34107,4.93733,20.1705,984.824,0.430974,84.8824
5,7,2.81939,0.742557,2.32492,4.82412,20.2297,982.406,0.437872,85.0286
6,7,2.82197,0.750032,2.34155,4.92903,20.1748,985.346,0.429052,84.9696
7,7,2.83318,0.761743,2.33619,4.90375,19.6476,986.014,0.435033,85.2011
8,7,2.81821,0.752256,2.33652,4.97966,20.2999,981.372,0.436081,85.1842
9,7,2.80533,0.719214,2.31156,5.01741,19.529,981.908,0.435884,85.028
10,7,2.81583,0.745931,2.30986,5.03115,19.9761,985.461,0.436203,84.9226
1,8,2.81715,1.01216,2.35373,4.98116,19.9522,983.508,0.43422,85.1671
2,8,2.8163,0.970694,2.3525,4.93211,19.4265,981.646,0.434195,85.121
3,8,2.82294,1.01023,2.34379,4.97125,20.0825,983.938,0.435934,85.0084
4,8,2.81304,0.993754,2.34348,4.93867,20.2954,981.912,0.437306,85.0394
5,8,2.81849,1.02019,2.35639,4.99062,19.9719,984.219,0.435295,85.1211
6,8,2.81554,1.02876,2.34166,4.95155,20.63,983.616,0.433564,84.9737
7,8,2.81767,1.00299,2.35384,4.91654,19.7599,984.661,0.434789,84.6954
8,8,2.82971,1.0236,2.33175,4.97725,19.8309,984.507,0.43226,85.1171
